Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;200;;148.0000;;;;;;;;;;;;;;;;;;;39.63;24.92;27.00;
1.4;NaCl;20;200;;124.0000;;;;;;;;;;;;;;;;;;;39.68;24.97;27.01;
2.8;NaCl;20;200;;138.0000;;;;;;;;;;;;;;;;;;;39.68;24.96;26.90;
4.2;NaCl;20;200;;114.0000;;;;;;;;;;;;;;;;;;;39.68;24.99;26.89;
5.6;NaCl;20;200;;90.5000;;;;;;;;;;;;;;;;;;;39.73;24.93;26.85;
7.0;NaCl;20;200;;102.0000;119.5914;;0.8170;0.2723;0.0000;0.2723;0.8170;0.8170;2.1788;9.5321;14.9789;32.4090;22.0599;21.2429;11.7108;2.1788;0.2723;0.5447;39.72;24.94;26.87;
8.4;NaCl;20;200;;132.0000;112.8119;;2.1781;0.2723;0.2723;1.0891;1.3613;0.2723;2.9949;7.0788;12.5241;24.7759;21.7810;20.6920;12.2518;4.0839;1.3613;0.2723;39.74;24.91;26.84;
9.8;NaCl;20;200;;102.0000;50.8545;;0.0000;0.2716;0.5432;0.8148;0.2716;0.2716;1.3580;6.2468;6.2468;12.4935;10.0491;6.5183;4.0740;1.3580;0.2716;0.2716;39.71;24.84;26.79;
11.3;NaCl;20;200;;142.0000;108.9265;;1.3534;0.2707;0.5414;1.3534;1.3534;0.8121;4.3310;12.4517;12.1810;28.6930;21.1137;15.6999;6.7672;1.3534;0.2707;0.8121;39.81;24.97;26.81;
12.7;NaCl;20;200;;126.0000;94.4758;;0.8062;0.2687;0.2687;1.0749;0.0000;0.0000;1.6124;4.8371;12.0927;23.1104;21.2294;12.8989;12.8989;2.1498;0.8062;0.8062;39.80;24.93;26.74;
14.1;NaCl;20;200;;118.0000;112.4075;;1.6118;0.0000;0.5373;0.2686;0.5373;0.8059;2.6863;9.9395;16.3867;23.1025;22.5653;19.6103;10.2081;3.2236;1.0745;0.2686;39.77;24.95;26.71;
15.5;NaCl;20;200;;120.0000;120.4366;;0.2686;0.0000;0.5372;1.3430;1.0744;1.6116;4.5662;15.0416;20.6822;27.6657;19.6078;18.5334;5.9092;2.6860;1.3430;0.0000;39.78;24.99;26.67;
16.9;NaCl;20;200;;104.0000;113.4307;;2.9622;0.5386;1.0772;1.0772;0.2693;0.5386;2.6929;8.0787;10.2330;28.5447;24.5053;19.6581;7.5401;4.5779;1.6157;0.0000;39.78;25.01;26.75;
18.3;NaCl;20;200;;124.0000;116.3805;;0.2692;0.0000;0.0000;1.6154;1.0769;0.5385;2.6923;8.3460;12.9228;29.6149;24.2303;25.0380;7.2691;2.4230;0.8077;0.0000;39.81;25.03;26.73;
19.7;NaCl;20;200;;150.0000;75.3523;;1.3460;0.0000;0.0000;0.8076;0.5384;0.0000;1.8844;7.2685;8.0761;21.5362;13.4601;13.4601;5.3841;1.6152;0.0000;0.2692;39.81;24.99;26.67;
21.1;NaCl;20;200;;122.0000;120.7016;;2.4228;0.0000;0.0000;0.8076;1.6152;0.5384;2.6920;11.5757;16.9597;24.7666;22.8822;24.4974;11.0373;0.8076;0.5384;0.0000;39.76;24.97;26.74;
22.5;NaCl;20;200;;132.0000;109.7044;;0.8082;0.0000;0.2694;1.3469;0.8082;0.8082;5.3877;12.6612;14.8163;20.4734;24.7836;17.2408;8.0816;2.1551;0.5388;0.0000;39.80;25.03;26.80;
23.9;NaCl;20;200;;114.0000;109.2651;;1.3407;0.2681;0.2681;1.0725;1.6088;0.2681;4.8264;10.9936;16.0881;19.8420;19.3058;22.7915;7.7759;2.1451;0.8044;0.2681;39.82;24.97;26.80;
25.3;NaCl;20;200;;128.0000;111.9366;;0.8048;0.0000;0.0000;0.5365;0.8048;0.2683;4.0238;11.2665;16.3633;28.4346;21.7283;16.0950;7.2428;3.2190;1.0730;0.5365;39.83;25.10;26.77;
26.7;NaCl;20;200;;106.0000;106.7925;;0.2680;0.2680;0.5360;0.0000;1.3399;0.5360;4.0198;12.0594;15.5433;30.8186;18.7591;16.3472;5.3598;1.0720;0.0000;0.2680;39.78;25.14;26.75;
28.1;NaCl;20;200;;148.0000;114.8020;;0.5359;0.0000;0.0000;0.2679;0.5359;1.0718;3.7512;10.4497;14.2009;34.2965;22.5071;16.8803;8.3062;1.6076;0.8038;0.0000;39.83;25.12;26.74;
29.5;NaCl;20;200;;146.0000;112.1322;;0.5360;0.0000;0.8040;1.8761;0.8040;0.5360;4.2882;11.7925;15.5446;29.2131;21.1728;16.0806;7.2363;1.6081;0.8040;0.2680;39.81;24.98;26.69;
31.0;NaCl;20;200;;126.0000;103.5888;;1.6084;0.0000;0.2681;1.0722;1.3403;0.8042;2.6806;10.1864;15.0115;28.1465;19.8366;10.1864;8.8461;2.9487;0.8042;0.2681;39.83;24.93;26.67;
32.4;NaCl;20;200;;116.0000;105.5732;;0.8007;0.2669;1.8684;1.8684;1.3346;1.3346;2.4022;9.0750;15.7478;29.6273;16.2817;14.4133;8.0074;2.4022;0.5338;0.0000;39.85;24.96;26.75;
33.8;NaCl;20;200;;136.0000;98.3932;;1.0677;0.0000;0.2669;0.5338;0.8008;0.2669;2.4023;9.6093;13.8801;23.4893;20.5532;16.2824;7.2070;1.8685;0.5338;0.0000;39.83;24.99;26.76;
35.2;NaCl;20;200;;134.0000;102.3821;;1.3347;0.0000;0.0000;1.8686;1.6016;0.2669;1.8686;8.0082;16.0165;23.2239;22.6900;14.4148;7.7413;2.4025;1.0678;0.2669;39.84;24.98;26.86;
36.6;NaCl;20;200;;136.0000;105.5732;;2.1352;0.0000;0.8007;0.2669;1.0676;0.0000;0.8007;8.8076;14.4124;23.7537;21.8854;17.0813;10.6758;2.9359;0.8007;0.5338;39.84;24.93;26.86;
38.0;NaCl;20;200;;163.0000;113.0192;;1.6030;0.0000;0.5343;0.5343;1.3358;0.5343;3.4731;12.8236;14.9609;26.9830;20.5712;15.4952;9.6177;3.2059;1.3358;0.5343;39.83;25.02;26.87;
39.4;NaCl;20;200;;128.0000;116.7422;;0.8011;0.0000;0.5341;0.2670;1.6022;0.0000;2.4032;6.6757;12.0162;28.3049;24.0324;24.0324;11.4822;3.2043;1.6022;0.2670;39.86;24.98;26.92;
40.8;NaCl;20;200;;144.0000;113.8170;;1.6031;0.0000;0.2672;0.5344;1.8702;0.5344;2.1374;8.5496;14.1603;31.5267;20.0382;21.6412;7.2137;4.0076;0.2672;0.0000;39.87;24.93;26.93;
