Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.5;Russ;20;50;200nmp;74.8000;47.6141;2.9613;0.0000;0.0000;0.0000;0.0000;1.0173;2.7129;7.4605;13.2254;13.5646;3.0520;2.3738;1.0173;2.7129;0.0000;0.0000;0.6782;40.38;28.88;23.47;51.81
1.5;Russ;20;50;200nmp;59.0000;49.6402;2.9613;1.0171;0.0000;0.0000;0.3390;0.0000;2.0342;9.4927;11.8659;14.9172;2.7122;1.3561;2.7122;1.6951;1.3561;0.3390;0.0000;40.42;28.95;23.46;51.81
2.5;Russ;20;50;200nmp;49.2000;49.5755;2.9652;0.3388;0.3388;0.0000;0.6776;0.6776;2.7106;8.1318;15.5859;11.5200;4.4047;1.6941;2.3718;1.0165;0.3388;0.0000;0.0000;40.42;28.95;23.46;51.81
3.5;Russ;20;50;200nmp;55.1000;63.4026;2.9652;0.0000;0.0000;0.0000;0.3387;1.0162;2.3711;8.4681;14.5651;21.3395;4.0647;3.7259;2.7098;1.6936;2.0323;1.3549;0.0000;40.27;28.93;23.47;51.81
4.5;Russ;20;50;200nmp;53.1000;48.2265;2.9652;0.6775;0.0000;0.3387;0.0000;0.6775;2.7100;7.7911;11.1786;12.8723;2.7100;3.0487;3.3874;2.3712;0.3387;0.3387;0.0000;40.21;28.92;23.47;51.80
5.5;Russ;20;50;200nmp;57.1000;47.5520;2.9652;0.3385;0.0000;0.0000;1.0154;0.3385;3.0463;6.4312;14.8932;12.1854;5.0772;2.3694;1.0154;0.3385;0.3385;0.3385;0.0000;40.21;28.92;23.47;51.80
6.5;Russ;20;50;200nmp;72.8000;49.9127;2.9652;0.6773;0.0000;0.0000;0.3386;0.3386;2.0318;7.1112;14.2224;14.2224;2.3704;2.0318;3.7249;1.3545;1.3545;0.3386;0.0000;40.14;28.91;23.47;51.73
7.6;Russ;20;50;200nmp;61.0000;62.0537;2.9652;0.3385;0.0000;0.3385;1.0154;0.0000;3.7233;9.4775;14.2163;19.9705;4.7388;1.3539;3.7233;1.6924;1.0154;0.3385;0.3385;40.34;28.92;23.46;51.68
8.6;Russ;20;50;200nmp;57.1000;55.3087;2.9652;0.0000;0.0000;0.6773;0.6773;0.3386;2.3704;8.8045;15.2386;16.2545;2.0318;2.3704;3.0477;2.3704;0.6773;0.0000;0.6773;40.35;28.91;23.46;51.73
9.6;Russ;20;50;200nmp;55.1000;57.6273;2.9847;1.6811;0.3362;0.0000;0.0000;1.3449;3.6984;9.7503;12.4401;15.1298;6.0519;2.3535;3.3622;0.6724;0.6724;0.3362;0.0000;40.35;28.91;23.46;51.73
10.6;Russ;20;50;200nmp;57.1000;49.2512;2.9847;0.0000;0.0000;0.6726;0.0000;1.3453;2.3542;4.7085;11.0985;18.1613;4.7085;3.3632;2.3542;0.6726;0.0000;0.0000;0.0000;40.32;28.93;23.47;51.77
11.6;Russ;20;50;200nmp;55.1000;49.2512;2.9847;0.0000;0.0000;0.6726;0.0000;1.3453;2.3542;4.7085;11.0985;18.1613;4.7085;3.3632;2.3542;0.6726;0.0000;0.0000;0.0000;40.33;28.94;23.47;51.80
