Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;Russ;20;100;;9.8300;;;;;;;;;;;;;;;;;;;37.10;30.27;28.07;
1.4;Russ;20;100;;25.6000;;;;;;;;;;;;;;;;;;;37.13;30.28;28.06;
2.8;Russ;20;100;;5.9000;;;;;;;;;;;;;;;;;;;37.14;30.39;27.95;
4.2;Russ;20;100;;5.9000;;;;;;;;;;;;;;;;;;;37.09;30.28;28.07;
5.7;Russ;20;100;;7.8700;16.2276;;0.4652;0.4652;0.0000;0.4652;0.9305;1.8609;4.6523;5.5828;0.9305;0.9305;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;37.11;30.41;27.99;
7.1;Russ;20;100;;9.8300;18.0822;;0.0000;0.0000;0.0000;0.9311;0.4655;2.7932;2.3277;4.6553;4.6553;2.3277;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;37.09;30.31;27.88;
8.5;Russ;20;100;;13.8000;16.0093;;0.0000;0.9183;0.0000;1.8367;0.4592;2.2959;4.1325;1.3775;1.3775;1.3775;1.3775;0.9183;0.0000;0.0000;0.0000;0.0000;37.07;30.34;27.87;
9.9;Russ;20;100;;7.8700;14.5743;;0.0000;0.4574;0.4574;0.9148;0.0000;2.2869;3.2017;2.7443;3.2017;0.9148;0.4574;0.0000;0.0000;0.0000;0.0000;0.0000;37.02;30.24;27.80;
11.3;Russ;20;100;;15.7000;14.1189;;0.4572;0.0000;0.0000;0.4572;0.4572;4.1147;4.1147;2.2859;1.3716;0.0000;0.9144;0.0000;0.0000;0.0000;0.0000;0.0000;37.07;29.96;27.66;
12.7;Russ;20;100;;19.7000;16.3961;;0.0000;0.0000;0.0000;0.4574;1.3722;3.2017;3.2017;4.5739;2.2869;0.9148;0.0000;0.4574;0.0000;0.0000;0.0000;0.0000;37.11;30.37;27.63;
14.1;Russ;20;100;;15.7000;15.3118;;0.0000;0.9040;0.4520;0.9040;0.0000;0.9040;4.9723;2.7121;1.8081;2.2601;0.4520;0.0000;0.0000;0.0000;0.0000;0.0000;37.13;30.47;27.65;
15.5;Russ;20;100;;9.8300;12.1593;;0.0000;0.0000;0.0000;0.4522;1.8087;0.9043;3.1652;4.5217;0.0000;1.3565;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;37.17;30.54;27.72;
16.9;Russ;20;100;;13.8000;18.0138;;0.4520;0.0000;0.9041;0.4520;0.9041;2.2602;3.6163;4.5203;2.7122;1.3561;0.9041;0.0000;0.0000;0.0000;0.0000;0.0000;37.10;30.45;27.67;
18.3;Russ;20;100;;15.7000;18.4642;;0.0000;0.0000;0.9045;0.4522;2.2612;4.9746;3.6179;4.0701;1.3567;0.4522;0.4522;0.0000;0.0000;0.0000;0.0000;0.0000;37.12;30.49;27.62;
19.7;Russ;20;100;;9.8300;15.5130;;0.0000;0.8892;0.4446;0.8892;0.4446;1.7785;4.0015;4.0015;1.3338;0.8892;0.4446;0.4446;0.0000;0.0000;0.0000;0.0000;37.07;30.42;27.56;
21.1;Russ;20;100;;11.8000;21.2750;;0.0000;0.4451;0.8902;2.2255;1.7804;1.7804;5.7864;5.3413;2.2255;0.8902;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;37.08;30.48;27.52;
22.6;Russ;20;100;;7.8700;21.1070;;0.0000;0.4418;0.4418;1.3254;0.4418;1.3254;7.9526;4.8599;3.0927;1.3254;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;37.03;30.44;27.48;
24.0;Russ;20;100;;5.9000;22.4262;;0.0000;0.0000;0.4414;2.2070;1.7656;3.0898;6.6211;5.7383;1.3242;1.3242;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.99;30.38;27.47;
25.4;Russ;20;100;;5.9000;18.7794;;0.4383;0.4383;0.4383;0.0000;2.1916;4.8214;6.1363;0.8766;3.0682;0.4383;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;37.03;30.17;27.48;
26.8;Russ;20;100;;17.7000;14.7636;;0.0000;0.4356;0.8712;1.3068;1.3068;1.3068;3.9203;3.0491;0.8712;0.8712;0.4356;0.4356;0.0000;0.0000;0.0000;0.0000;37.06;30.61;27.53;
28.2;Russ;20;100;;0.0000;16.8039;;0.0000;0.4328;0.0000;1.7312;0.4328;2.1640;3.4624;4.3280;2.1640;1.2984;0.4328;0.4328;0.0000;0.0000;0.0000;0.0000;37.07;30.76;27.79;
29.6;Russ;20;100;;7.8700;14.4142;;0.4258;0.0000;0.0000;1.2775;1.7033;3.4067;2.9808;2.9808;0.4258;1.2775;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;36.99;30.56;27.82;
31.0;Russ;20;100;;9.8300;15.6860;;0.0000;0.0000;1.2765;1.7020;0.8510;2.9785;2.9785;2.1275;2.9785;0.4255;0.0000;0.4255;0.0000;0.0000;0.0000;0.0000;37.05;30.70;27.90;
32.4;Russ;20;100;;3.9300;15.1634;;0.4227;0.4227;1.2681;1.2681;0.4227;2.1136;2.1136;3.8044;2.1136;0.8454;0.0000;0.4227;0.0000;0.0000;0.0000;0.0000;37.03;30.61;27.89;
33.8;Russ;20;100;;9.8300;17.5588;;0.0000;0.4197;0.4197;2.5181;1.2590;2.0984;4.6165;1.6787;1.2590;1.6787;1.6787;0.0000;0.0000;0.0000;0.0000;0.0000;37.05;30.66;27.78;
35.2;Russ;20;100;;15.7000;13.7962;;0.0000;0.0000;0.0000;1.6789;1.2592;2.5183;3.3578;2.9381;0.4197;0.4197;1.2592;0.0000;0.0000;0.0000;0.0000;0.0000;37.05;30.61;27.71;
36.6;Russ;20;100;;9.8300;15.4684;;0.0000;0.0000;0.0000;2.0997;1.2598;0.8399;4.6193;2.9396;1.2598;1.6798;0.4199;0.4199;0.0000;0.0000;0.0000;0.0000;37.05;30.59;27.62;
