Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.8;Russ;20;50;;15.7000;28.8409;2.8779;0.0000;0.0000;0.0000;0.0000;0.3492;1.0476;4.1902;4.1902;5.5870;4.8886;1.0476;3.8411;2.4443;1.0476;0.0000;0.3492;39.55;28.00;23.52;51.04
1.8;Russ;20;50;;23.6000;20.5014;2.8779;0.3490;0.0000;0.0000;0.0000;0.6980;1.7451;1.3961;3.4902;4.1883;2.0941;1.7451;2.7922;0.3490;1.7451;0.0000;0.0000;39.71;27.99;23.51;51.09
2.8;Russ;20;50;;25.6000;20.5014;2.8779;0.3490;0.0000;0.0000;0.0000;0.6980;1.7451;1.3961;3.4902;4.1883;2.0941;1.7451;2.7922;0.3490;1.7451;0.0000;0.0000;39.71;27.99;23.51;51.09
3.8;Russ;20;50;;25.6000;21.8913;2.8779;0.6977;0.0000;0.0000;0.3488;0.6977;0.3488;2.7907;4.5350;3.1396;1.3954;3.8373;2.0931;1.7442;0.3488;0.0000;0.0000;39.69;28.02;23.51;51.06
4.8;Russ;20;50;;31.5000;26.4085;2.8779;1.7448;0.0000;0.0000;0.3490;0.3490;2.0938;2.4428;5.2345;3.8387;2.0938;2.7918;2.0938;2.4428;0.6979;0.3490;0.0000;39.78;28.10;23.52;51.13
5.8;Russ;20;50;;19.7000;24.6711;2.8779;0.0000;0.0000;0.0000;0.0000;0.3489;1.3958;2.0936;4.8852;4.8852;2.4426;1.7447;4.1873;1.3958;0.3489;1.0468;0.0000;39.78;28.10;23.52;51.13
6.8;Russ;20;50;;17.7000;25.6035;2.8902;0.3471;0.3471;0.0000;0.0000;0.6942;1.3884;1.7354;6.9418;4.1651;3.1238;0.6942;3.4709;1.0413;1.0413;0.3471;0.3471;39.81;28.15;23.51;51.17
7.9;Russ;20;50;;23.6000;25.9495;2.8902;0.6949;0.0000;0.0000;0.0000;0.0000;1.7373;2.4322;4.1694;4.8644;1.7373;1.3898;2.7796;3.1271;2.0847;0.3475;0.6949;39.89;28.21;23.51;51.12
8.9;Russ;20;50;;25.6000;27.0116;2.8876;0.0000;0.3478;0.0000;0.0000;0.0000;1.3912;2.4347;3.8259;4.5215;4.1737;0.3478;3.4781;2.7825;2.4347;1.3912;0.0000;39.89;28.21;23.51;51.12
9.9;Russ;20;50;;27.5000;21.0079;2.9037;0.3457;0.3457;0.0000;0.0000;0.0000;0.3457;1.0371;3.1114;3.8028;1.3828;0.6914;4.1485;3.8028;1.3828;0.3457;0.3457;39.92;28.23;23.51;51.15
10.9;Russ;20;50;;23.6000;24.3498;2.9158;0.3443;0.3443;0.0000;0.3443;0.3443;0.0000;2.7546;2.7546;4.8205;1.3773;1.7216;3.4432;2.7546;1.3773;1.0330;1.0330;39.93;28.17;23.52;51.19
11.9;Russ;20;50;;19.7000;30.5230;2.9158;2.0657;0.0000;0.0000;0.0000;0.0000;0.6886;2.4099;6.5413;4.1313;3.0985;2.0657;4.8199;1.3771;1.7214;0.6886;1.0328;39.93;28.17;23.52;51.19
12.9;Russ;20;50;;17.7000;26.0646;2.9158;1.0333;0.0000;0.0000;0.0000;0.0000;0.0000;1.0333;3.7886;6.5439;2.0665;1.0333;2.0665;3.4442;2.7553;1.3777;1.0333;40.02;28.28;23.52;51.19
13.9;Russ;20;50;;35.4000;25.0357;2.9158;0.6884;0.0000;0.0000;0.0000;0.3442;0.3442;2.7537;3.4422;4.8191;1.0327;1.7211;2.4095;3.4422;2.0653;0.3442;1.7211;40.05;28.33;23.52;51.19
