Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;100;;316.0000;;;;;;;;;;;;;;;;;;;40.07;26.45;25.41;
1.4;NaCl;20;100;;389.0000;;;;;;;;;;;;;;;;;;;40.02;26.39;25.41;
2.8;NaCl;20;100;;357.0000;;;;;;;;;;;;;;;;;;;40.05;26.41;25.50;
4.2;NaCl;20;100;;339.0000;;;;;;;;;;;;;;;;;;;40.04;26.15;25.51;
5.7;NaCl;20;100;;351.0000;482.3630;;2.8008;0.0000;0.4668;2.8008;3.7344;7.9355;38.2772;75.6209;87.7576;119.4996;78.4216;48.5467;17.2714;1.4004;0.0000;0.0000;40.03;26.10;25.50;
7.1;NaCl;20;100;;375.0000;453.4013;;5.6117;0.4676;1.4029;2.8058;2.3382;11.6910;34.6053;60.3255;68.7430;104.7512;76.2252;58.9226;18.7056;7.0146;1.4029;0.4676;40.05;26.05;25.51;
8.5;NaCl;20;100;;335.0000;464.5689;;3.3111;0.4730;0.4730;2.3651;2.8381;8.5142;33.5838;60.0725;68.1137;116.8339;78.9930;68.1137;16.5554;4.2571;1.4190;0.4730;40.05;26.08;25.52;
9.9;NaCl;20;100;;345.0000;56.5398;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9463;6.6242;10.8825;15.6141;13.2483;7.5705;0.4732;1.4195;0.0000;0.0000;40.05;26.10;25.54;
11.3;NaCl;20;100;;318.0000;54.6552;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4728;4.2551;10.4014;17.0204;11.3469;7.5646;1.8912;1.8912;0.0000;0.0000;40.06;26.10;25.52;
12.7;NaCl;20;100;;324.0000;493.4115;;4.2465;0.9437;0.9437;3.3028;6.1338;9.4366;33.4998;76.4362;70.3024;108.5205;89.1755;72.1897;15.5703;4.2465;0.4718;0.0000;40.06;26.10;25.51;
14.1;NaCl;20;100;;296.0000;472.2653;;2.3582;0.4716;0.9433;1.8866;4.2448;6.6030;33.4869;64.6156;78.7649;120.2698;91.0278;54.7110;13.2061;1.4149;0.0000;0.0000;40.04;26.09;25.41;
15.5;NaCl;20;100;;300.0000;456.7581;;5.1864;0.0000;0.9430;2.3575;4.2435;9.9014;38.1911;72.1387;71.1957;102.7859;79.6826;49.9785;16.5023;4.7149;0.4715;0.0000;40.02;26.06;25.29;
16.9;NaCl;20;100;;306.0000;96.8026;;0.9436;0.0000;0.0000;1.4153;1.4153;2.3589;5.1896;13.6816;15.5687;26.4196;15.5687;11.3227;1.8871;0.4718;0.9436;0.0000;40.06;26.07;25.24;
18.3;NaCl;20;100;;320.0000;426.9933;;6.1499;0.4731;0.0000;2.3654;3.3115;5.6769;21.2882;43.9956;71.4338;115.9025;88.9374;53.9301;13.2460;1.4192;0.0000;0.4731;40.03;26.20;25.26;
