Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;100;;316.0000;;;;;;;;;;;;;;;;;;;40.09;25.89;25.83;
1.4;NaCl;20;100;;337.0000;;;;;;;;;;;;;;;;;;;40.13;26.32;25.80;
2.8;NaCl;20;100;;355.0000;;;;;;;;;;;;;;;;;;;40.07;26.34;25.78;
4.2;NaCl;20;100;;367.0000;;;;;;;;;;;;;;;;;;;40.05;26.22;25.75;
5.7;NaCl;20;100;;389.0000;78.3243;;0.4882;0.0000;0.0000;0.0000;0.4882;0.4882;3.9054;10.7398;10.2516;17.5742;15.1334;11.7162;5.8581;0.9763;0.9763;0.0000;40.09;26.16;25.66;
7.1;NaCl;20;100;;347.0000;245.1892;;3.4186;0.0000;0.9767;1.4651;2.4419;0.0000;5.8605;24.9070;33.2093;55.6744;52.7442;40.0465;17.0930;7.3256;0.9767;0.0000;40.08;26.06;25.69;
8.5;NaCl;20;100;;316.0000;453.4054;;8.7930;0.4885;0.4885;3.4195;4.3965;10.2585;28.3329;68.3897;63.5047;97.6996;71.3207;60.0852;25.8904;9.7700;1.9540;0.4885;40.08;26.11;25.67;
9.9;NaCl;20;100;;405.0000;436.8649;;4.3967;0.9770;2.4426;4.8852;4.3967;7.8163;25.8915;56.1797;73.2778;91.8415;75.7204;64.9730;22.4719;1.9541;0.4885;0.9770;40.12;26.14;25.79;
11.3;NaCl;20;100;;387.0000;116.2703;;1.4652;0.0000;0.0000;0.0000;0.9768;1.9537;4.3957;9.2799;17.0945;30.7701;21.9786;13.1872;12.6988;2.4421;0.4884;0.0000;40.11;26.18;25.84;
12.7;NaCl;20;100;;393.0000;320.1081;;2.9302;0.0000;0.4884;1.9534;3.4185;6.3487;11.2323;32.2319;49.3245;81.5564;65.9288;43.9526;16.6043;4.8836;0.4884;0.0000;40.14;26.11;25.72;
14.1;NaCl;20;100;;407.0000;207.2432;;2.9319;0.0000;0.4887;3.9092;0.0000;1.4660;11.7277;29.8079;30.7853;53.2634;33.7172;26.8760;8.7958;3.9092;0.4887;0.0000;40.13;26.08;25.69;
15.5;NaCl;20;100;;355.0000;478.7027;;8.2966;0.4880;0.9761;1.9522;1.9522;6.3445;23.9139;48.8038;65.8851;128.8420;100.5358;65.3971;23.4258;2.9282;0.4880;0.0000;40.11;26.11;25.73;
