Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.1;Russ;20;25;;1.9700;5.6142;2.8499;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3524;0.0000;0.0000;0.3524;0.7048;0.3524;1.4095;0.7048;1.0571;0.7048;40.15;28.91;23.51;51.21
1.1;Russ;20;25;;11.8000;8.7722;2.8499;0.0000;0.0000;0.0000;0.0000;0.0000;0.3523;0.0000;0.7046;1.0568;0.3523;0.3523;1.7614;2.1137;1.0568;1.0568;0.0000;40.15;28.91;23.51;51.21
2.2;Russ;20;25;;5.9000;8.0704;2.8499;0.3525;0.0000;0.0000;0.0000;0.0000;0.0000;0.3525;1.0574;1.7623;0.7049;1.0574;0.7049;1.0574;0.7049;0.0000;0.3525;40.18;28.95;23.50;51.26
3.2;Russ;20;25;;7.8700;5.2633;2.8499;0.0000;0.0000;0.0000;0.0000;0.0000;0.3523;0.0000;0.7046;0.0000;1.4091;0.3523;0.7046;1.0568;0.0000;0.3523;0.3523;40.30;29.00;23.51;51.33
4.2;Russ;20;25;;13.8000;4.5615;2.8499;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.4102;0.3526;0.0000;0.3526;1.4102;0.0000;0.3526;0.7051;0.0000;40.30;29.00;23.51;51.33
5.2;Russ;20;25;;7.8700;5.6142;2.8499;0.3523;0.0000;0.0000;0.0000;0.0000;0.3523;1.0569;0.7046;1.7615;0.3523;0.0000;0.3523;0.0000;0.0000;0.3523;0.3523;40.40;29.02;23.50;51.39
6.2;Russ;20;25;;7.8700;5.9388;2.8625;0.7017;0.3509;0.0000;0.0000;0.0000;0.0000;0.0000;1.0526;0.7017;0.7017;0.0000;1.0526;0.7017;0.0000;0.7017;0.0000;40.36;28.83;23.50;51.43
7.2;Russ;20;25;;11.8000;3.8428;2.8625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7014;0.0000;0.7014;1.4027;0.3507;0.0000;0.3507;0.3507;40.36;28.83;23.50;51.43
8.2;Russ;20;25;;5.9000;5.2402;2.8625;0.7012;0.0000;0.0000;0.0000;0.0000;0.0000;0.3506;0.7012;1.0518;0.3506;0.3506;0.7012;0.0000;0.3506;0.0000;0.7012;40.36;29.24;23.49;51.44
9.2;Russ;20;25;;15.7000;4.1921;2.8625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7014;0.3507;0.7014;0.7014;0.0000;0.3507;0.3507;0.7014;0.0000;0.3507;40.31;29.32;23.50;51.42
10.2;Russ;20;25;;15.7000;4.5415;2.8625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7016;0.7016;0.0000;0.0000;1.0524;0.7016;0.7016;0.3508;0.3508;0.0000;40.31;29.32;23.50;51.42
11.3;Russ;20;25;;11.8000;5.5895;2.8625;0.0000;0.0000;0.0000;0.3508;0.0000;0.0000;0.0000;1.0523;1.4030;0.3508;0.0000;1.4030;0.3508;0.7015;0.0000;0.0000;40.30;29.35;23.50;51.39
12.3;Russ;20;25;;11.8000;7.3362;2.8625;0.0000;0.0000;0.0000;0.0000;0.0000;0.3506;0.0000;1.4023;2.1034;0.7011;0.3506;0.7011;1.0517;0.7011;0.0000;0.0000;40.26;29.34;23.50;51.35
13.3;Russ;20;25;;7.8700;7.3362;2.8625;0.0000;0.0000;0.0000;0.0000;0.0000;0.3506;0.0000;1.4023;2.1034;0.7011;0.3506;0.7011;1.0517;0.7011;0.0000;0.0000;40.26;29.34;23.50;51.35
14.3;Russ;20;25;;5.9000;7.3416;2.8604;0.7020;0.3510;0.0000;0.0000;0.0000;0.0000;0.3510;1.0530;1.7550;0.0000;0.3510;1.0530;1.0530;0.3510;0.3510;0.0000;40.29;29.40;23.51;51.32
15.3;Russ;20;25;;5.9000;3.4960;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7018;0.3509;0.0000;0.7018;0.3509;0.3509;1.0527;0.0000;0.0000;0.0000;40.33;29.36;23.50;51.29
16.3;Russ;20;25;;9.8300;4.1952;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7023;1.0534;1.0534;0.7023;0.3511;0.0000;0.0000;0.3511;0.0000;0.0000;40.33;29.36;23.50;51.29
17.3;Russ;20;25;;1.9700;6.6424;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7020;1.0531;2.8082;0.3510;1.0531;0.3510;0.0000;0.0000;0.0000;0.3510;40.35;29.29;23.49;51.27
18.3;Russ;20;25;;3.9300;7.6912;2.8604;0.0000;0.0000;0.0000;0.0000;0.3507;0.0000;0.0000;1.0522;2.1043;0.0000;0.3507;2.1043;0.3507;0.3507;0.7014;0.3507;40.23;29.18;23.50;51.25
19.3;Russ;20;25;;13.8000;3.8456;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3510;1.4039;0.7020;0.7020;0.0000;0.0000;0.0000;0.3510;0.0000;0.3510;40.23;29.18;23.50;51.25
20.3;Russ;20;25;;7.8700;6.2928;2.8604;0.0000;0.0000;0.0000;0.0000;0.3510;0.0000;0.0000;1.4039;1.0529;0.7019;0.3510;0.0000;1.4039;0.0000;1.0529;0.0000;40.15;29.05;23.51;51.22
21.4;Russ;20;25;;5.9000;6.9920;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.4036;1.7545;0.7018;0.7018;0.3509;1.0527;0.3509;0.0000;0.3509;0.3509;40.14;29.06;23.50;51.18
22.4;Russ;20;25;;7.8700;4.5448;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7023;1.4046;1.4046;0.3511;0.7023;0.0000;0.0000;0.0000;0.0000;40.14;29.06;23.50;51.18
23.4;Russ;20;25;;11.8000;6.2928;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0536;1.0536;1.4048;0.0000;1.0536;0.3512;0.7024;0.7024;0.0000;0.0000;40.13;29.06;23.50;51.17
24.4;Russ;20;25;;9.8300;6.6424;2.8604;0.7019;0.0000;0.0000;0.0000;0.0000;0.0000;0.7019;0.7019;1.7548;0.3510;0.3510;0.7019;0.3510;0.3510;0.3510;0.3510;40.22;28.97;23.49;51.20
25.4;Russ;20;25;;7.8700;7.3416;2.8604;0.3511;0.0000;0.0000;0.0000;0.0000;0.0000;1.0534;1.7556;1.7556;0.7022;0.3511;0.3511;0.3511;0.3511;0.3511;0.0000;40.22;28.97;23.49;51.20
26.4;Russ;20;25;;0.0000;6.6424;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.3509;3.1580;2.1053;0.3509;0.3509;0.0000;0.3509;0.0000;0.0000;0.0000;40.14;28.99;23.49;51.21
27.4;Russ;20;25;;7.8700;5.5936;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.7017;0.0000;1.4035;1.7543;0.0000;0.3509;0.7017;0.3509;0.3509;0.0000;0.0000;40.13;29.03;23.49;51.21
28.4;Russ;20;25;;9.8300;7.3416;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.7560;2.4584;1.7560;1.4048;0.0000;0.0000;0.0000;0.0000;0.0000;40.13;29.03;23.49;51.21
29.5;Russ;20;25;;11.8000;7.3416;2.8604;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.7560;2.4584;1.7560;1.4048;0.0000;0.0000;0.0000;0.0000;0.0000;40.00;28.78;23.50;51.31
30.5;Russ;20;25;;5.9000;4.8944;2.8604;0.0000;0.0000;0.0000;0.0000;0.3513;0.0000;0.3513;1.4051;1.7564;0.7026;0.3513;0.0000;0.0000;0.0000;0.0000;0.0000;40.02;28.81;23.51;51.29
