Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.5;Russ;20;200;200nmp;96.5000;107.4061;2.8769;0.0000;0.0000;0.0000;0.0000;0.0000;4.5366;12.9119;25.8238;30.7093;8.3753;7.6773;9.0732;4.8856;2.0938;1.7448;0.0000;39.87;28.58;23.50;51.50
1.5;Russ;20;200;200nmp;104.0000;119.9194;2.8769;4.5389;0.0000;0.0000;0.0000;0.3491;4.5389;14.6643;30.0268;28.9794;8.7287;8.0304;10.1253;4.8881;2.4440;2.0949;1.0474;39.87;28.58;23.50;51.50
2.5;Russ;20;200;200nmp;110.0000;115.0531;2.8769;1.0477;0.0000;0.0000;0.6985;0.6985;6.2862;15.0170;31.0816;31.0816;11.8739;7.3339;5.5877;2.7939;1.3969;0.6985;0.0000;39.79;28.57;23.50;51.48
3.5;Russ;20;200;200nmp;92.5000;117.1386;2.8769;1.3963;0.0000;0.0000;0.3491;0.3491;2.7925;17.1043;26.8782;31.4160;13.2645;9.0757;9.4248;2.4435;2.0944;0.3491;0.6981;39.91;28.57;23.51;51.43
4.6;Russ;20;200;200nmp;88.6000;117.1386;2.8769;1.3963;0.0000;0.0000;0.3491;0.3491;2.7925;17.1043;26.8782;31.4160;13.2645;9.0757;9.4248;2.4435;2.0944;0.3491;0.6981;39.91;28.57;23.51;51.43
5.6;Russ;20;200;200nmp;104.0000;101.0578;2.8795;2.4423;0.6978;0.0000;0.3489;0.6978;1.7445;10.1179;21.2825;23.3758;16.3980;9.0712;8.7223;4.8845;1.0467;0.6978;0.0000;39.83;28.54;23.51;51.48
6.6;Russ;20;200;200nmp;90.5000;112.8653;2.8795;3.4865;0.0000;0.0000;0.3487;1.0460;2.0919;7.3217;28.9383;34.5167;7.6704;8.7163;11.8542;3.4865;2.4406;0.6973;0.6973;39.82;28.47;23.51;51.46
7.6;Russ;20;200;200nmp;98.4000;118.7690;2.8795;5.9316;0.0000;0.0000;0.3489;0.6978;4.8848;19.5393;40.1253;26.1687;5.5826;4.1870;6.2805;3.8381;1.3957;0.0000;0.3489;39.82;28.47;23.51;51.46
8.6;Russ;20;200;200nmp;110.0000;107.3088;2.8795;1.0463;0.0000;0.0000;1.0463;1.0463;4.8825;16.7400;31.0388;26.5051;10.8113;5.5800;5.5800;1.3950;1.0463;1.0463;0.0000;39.84;28.54;23.51;51.42
9.6;Russ;20;200;200nmp;108.0000;112.3243;2.8845;2.4383;0.3483;0.3483;0.6966;0.6966;5.5732;17.4161;37.6188;25.4275;5.9215;7.3148;4.8765;3.4832;0.6966;0.0000;0.0000;39.76;28.55;23.49;51.34
