Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.3;Russ;20;100;200nmp;78.7000;50.4596;3.0321;0.3311;0.0000;0.0000;0.0000;0.6622;2.6489;10.9266;15.5621;6.9533;2.3178;1.3244;4.6355;2.9800;0.9933;0.3311;0.9933;39.49;26.95;23.38;51.30
1.3;Russ;20;100;200nmp;64.9000;52.4384;3.0321;1.9879;0.0000;0.0000;0.3313;0.3313;3.3132;9.9396;12.9215;7.2891;0.3313;2.6506;5.3011;5.9638;1.9879;0.3313;0.0000;39.38;26.99;23.39;51.30
2.3;Russ;20;100;200nmp;51.2000;46.8318;3.0321;0.3311;0.0000;0.0000;0.9934;0.9934;1.6557;10.2652;12.9143;7.6161;2.3180;3.6425;2.3180;1.9868;1.3245;0.6623;0.0000;39.36;26.98;23.38;51.30
3.3;Russ;20;100;200nmp;41.3000;47.9762;3.0432;0.3299;0.3299;0.0000;0.3299;0.3299;4.6185;8.2473;11.2163;5.2783;2.6391;1.6495;3.9587;5.2783;2.6391;0.6598;0.6598;39.36;26.98;23.38;51.30
4.4;Russ;20;100;200nmp;41.3000;45.6759;3.0432;0.3298;0.0000;0.0000;0.6597;0.9895;2.6387;8.2459;8.2459;9.8951;1.9790;1.9790;5.9370;2.3088;1.3193;0.6597;0.6597;39.37;26.99;23.39;51.31
5.4;Russ;20;100;200nmp;80.7000;45.6759;3.0432;0.3298;0.0000;0.0000;0.6597;0.9895;2.6387;8.2459;8.2459;9.8951;1.9790;1.9790;5.9370;2.3088;1.3193;0.6597;0.6597;39.30;27.02;23.38;51.30
6.4;Russ;20;100;200nmp;61.0000;47.5960;3.0255;0.0000;0.3319;0.0000;0.0000;0.9958;3.6514;6.9708;11.6180;8.2986;1.6597;1.6597;3.9833;5.9750;1.6597;0.9958;0.0000;39.30;27.02;23.38;51.30
7.4;Russ;20;100;200nmp;53.1000;49.9096;3.0255;1.3270;0.0000;0.0000;0.0000;0.3318;3.6493;7.6303;11.6113;7.9620;2.9858;2.3223;4.6445;2.9858;3.3175;0.9953;0.3318;39.27;27.02;23.38;51.26
8.4;Russ;20;100;200nmp;61.0000;53.5454;3.0255;0.0000;0.0000;0.0000;0.3318;0.6635;0.9953;10.9485;14.5980;10.6167;2.3224;2.6542;3.6495;3.6495;2.3224;0.0000;0.9953;39.15;26.98;23.39;51.25
9.4;Russ;20;100;200nmp;43.3000;57.6097;3.0203;0.3327;0.3327;0.3327;0.3327;0.9980;1.9960;13.3066;13.3066;9.3146;3.3267;2.9940;3.9920;4.3247;1.9960;0.6653;0.3327;39.15;26.98;23.39;51.25
10.4;Russ;20;100;200nmp;74.8000;57.2786;3.0203;0.9978;0.0000;0.0000;0.6652;0.0000;2.3283;10.6435;16.6304;12.9717;2.6609;1.6630;3.3261;2.6609;2.6609;0.3326;0.0000;39.08;26.98;23.37;51.24
11.4;Russ;20;100;200nmp;53.1000;54.6299;3.0203;0.0000;0.0000;0.0000;0.6648;0.3324;4.9858;11.6336;10.6364;10.3040;2.9915;2.9915;3.6563;3.6563;1.3296;0.9972;0.6648;39.10;26.93;23.37;51.25
12.4;Russ;20;100;200nmp;64.9000;56.2854;3.0203;0.9972;0.0000;0.3324;0.0000;0.3324;2.6593;9.9725;13.2967;11.9670;1.6621;2.6593;5.3187;3.9890;2.3269;0.6648;0.3324;39.10;26.93;23.37;51.25
13.5;Russ;20;100;200nmp;47.2000;52.6434;3.0203;0.9978;0.0000;0.0000;0.3326;0.6652;1.6630;7.3172;17.2953;11.3085;2.9934;2.3282;3.9912;2.9934;0.3326;0.6652;0.0000;39.06;26.95;23.37;51.26
14.5;Russ;20;100;200nmp;61.0000;50.6638;3.0396;2.6416;0.3302;0.0000;0.9906;0.6604;1.9812;7.9247;12.2173;8.9153;2.3114;2.3114;3.6322;4.9530;1.6510;0.3302;0.0000;39.12;26.96;23.37;51.27
15.5;Russ;20;100;200nmp;72.8000;55.5986;3.0396;1.9809;0.0000;0.3301;0.6603;1.3206;3.3015;8.5838;10.2346;11.5552;0.9904;2.6412;5.2824;5.6125;2.6412;0.3301;0.3301;39.12;26.96;23.37;51.27
16.5;Russ;20;100;200nmp;63.0000;58.5594;3.0396;1.3216;0.0000;0.0000;0.3304;0.6608;4.6257;11.8947;10.5731;12.2252;2.6433;3.3041;5.9474;2.9737;1.9825;0.3304;0.0000;39.13;26.98;23.38;51.29
17.5;Russ;20;100;200nmp;41.3000;53.6247;3.0396;0.0000;0.0000;0.0000;0.6603;1.3205;4.2917;10.8944;13.5355;11.5547;1.9808;2.6411;4.2917;1.9808;0.3301;0.3301;0.0000;38.98;26.96;23.37;51.28
18.5;Russ;20;100;200nmp;59.0000;49.3478;3.0396;0.3303;0.0000;0.0000;0.3303;0.9909;4.6242;8.5879;14.2030;10.2394;1.9818;3.3030;3.3030;0.6606;0.6606;0.3303;0.0000;38.98;26.96;23.37;51.28
19.6;Russ;20;100;200nmp;53.1000;52.3087;3.0396;0.6608;0.0000;0.0000;0.3304;0.6608;2.9735;9.2509;13.8763;9.9116;1.6519;2.9735;4.2950;4.9558;0.0000;0.3304;0.6608;39.01;26.97;23.38;51.31
20.6;Russ;20;100;200nmp;59.0000;40.1362;3.0396;0.3304;0.0000;0.0000;0.3304;0.0000;3.6343;8.2597;10.2420;7.5989;0.6608;2.9735;2.3127;2.9735;0.3304;0.3304;0.3304;39.03;26.99;23.38;51.32
21.6;Russ;20;100;200nmp;45.3000;40.1362;3.0396;0.3304;0.0000;0.0000;0.3304;0.0000;3.6343;8.2597;10.2420;7.5989;0.6608;2.9735;2.3127;2.9735;0.3304;0.3304;0.3304;38.96;26.99;23.38;51.31
22.6;Russ;20;100;200nmp;47.2000;46.0580;3.0396;0.0000;0.0000;0.6611;0.3306;0.6611;4.9586;7.2726;12.8923;11.2395;2.3140;2.3140;1.3223;1.3223;0.6611;0.3306;0.0000;38.96;26.99;23.38;51.31
