Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.8;Russ;20;100;200nmp;70.8000;57.0959;2.8724;0.6998;0.0000;0.0000;0.6998;0.0000;2.7991;12.5961;11.8963;9.7970;1.3996;3.1490;5.5983;5.2484;1.7495;1.3996;0.3499;38.89;27.66;23.36;51.25
1.8;Russ;20;100;200nmp;57.1000;50.3638;2.8592;2.1079;0.3513;0.3513;0.3513;1.0540;3.1619;8.0804;9.1344;11.5937;3.1619;3.1619;3.1619;3.1619;1.0540;0.3513;0.3513;38.89;27.66;23.36;51.25
2.8;Russ;20;100;200nmp;49.2000;52.3746;2.9022;1.0380;0.6920;0.0000;0.0000;0.3460;2.4220;6.5739;14.1858;12.8018;2.4220;2.7680;3.4599;2.4220;1.7300;1.0380;0.6920;38.92;27.64;23.37;51.23
3.8;Russ;20;100;200nmp;64.9000;45.1386;2.9022;0.3460;0.0000;0.0000;0.3460;1.0380;2.0760;7.6119;10.3798;8.3039;2.7680;3.8059;2.0760;4.4979;1.3840;0.3460;0.3460;39.04;27.87;23.37;51.23
4.8;Russ;20;100;200nmp;63.0000;52.3746;2.9022;0.3460;0.0000;0.3460;0.0000;0.0000;3.4596;9.3410;11.7628;11.4168;1.7298;3.4596;3.8056;3.1137;2.4218;1.0379;0.3460;39.04;27.87;23.37;51.23
5.8;Russ;20;100;200nmp;76.8000;45.8277;2.9022;1.0386;0.0000;0.0000;0.0000;1.0386;1.3848;6.9240;11.0785;7.9626;2.4234;2.7696;2.4234;4.1544;3.1158;0.6924;1.0386;39.08;27.88;23.37;51.25
6.8;Russ;20;100;200nmp;45.3000;47.1763;2.9040;0.6914;0.6914;0.3457;0.3457;0.0000;1.7286;7.9515;13.8287;8.9886;2.4200;1.7286;3.4572;2.7657;1.7286;0.0000;0.6914;39.24;27.97;23.38;51.27
7.8;Russ;20;100;200nmp;88.6000;48.8980;2.9040;1.7287;0.0000;0.0000;0.6915;1.3830;4.1489;7.6063;10.3722;11.4094;2.0744;2.4202;3.1117;2.0744;1.3830;0.6915;0.0000;39.24;27.97;23.38;51.27
8.8;Russ;20;100;200nmp;57.1000;48.8980;2.9040;1.7287;0.0000;0.0000;0.6915;1.3830;4.1489;7.6063;10.3722;11.4094;2.0744;2.4202;3.1117;2.0744;1.3830;0.6915;0.0000;39.23;28.03;23.38;51.28
9.8;Russ;20;100;200nmp;66.9000;53.7190;2.9040;2.0752;0.0000;0.0000;0.0000;1.0376;3.1128;8.9925;13.8346;8.9925;3.8045;2.7669;3.1128;4.4962;1.3835;0.3459;0.0000;39.23;28.02;23.37;51.28
