Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;100;;258.0000;;;;;;;;;;;;;;;;;;;37.55;28.01;27.83;
1.4;NaCl;20;100;;294.0000;;;;;;;;;;;;;;;;;;;37.56;27.97;27.78;
2.8;NaCl;20;100;;284.0000;;;;;;;;;;;;;;;;;;;37.54;27.93;27.73;
4.2;NaCl;20;100;;274.0000;;;;;;;;;;;;;;;;;;;37.50;27.89;27.69;
5.6;NaCl;20;100;;282.0000;213.5473;;0.8749;0.5833;1.1665;6.7076;10.7905;25.6639;56.5773;60.3686;25.6639;17.2065;6.9993;1.4582;0.2916;0.0000;0.0000;0.0000;37.46;27.77;27.69;
7.1;NaCl;20;100;;300.0000;216.7628;;0.8455;0.2818;1.1274;7.0461;11.2738;20.2928;60.8785;59.7511;27.6208;17.7562;9.5827;0.8455;0.2818;0.0000;0.0000;0.0000;37.48;27.89;27.73;
8.5;NaCl;20;100;;278.0000;184.4766;;0.2677;0.5355;0.5355;4.8192;7.7643;19.2768;37.2149;50.0660;28.1119;21.9541;11.5125;3.2128;0.0000;0.0000;0.0000;0.0000;37.51;27.88;27.82;
9.9;NaCl;20;100;;276.0000;192.3649;;2.3822;0.2647;0.7941;4.2350;8.9994;17.9988;38.3798;50.8201;34.9388;21.9691;8.9994;2.3822;1.0588;0.0000;0.0000;0.0000;37.49;27.85;27.76;
11.3;NaCl;20;100;;274.0000;179.3514;;0.5044;0.7565;1.7652;6.5566;10.5914;23.9568;50.1832;38.5831;21.6872;15.8871;7.3131;1.5131;0.7565;0.0000;0.0000;0.0000;37.49;27.88;27.80;
12.7;NaCl;20;100;;246.0000;166.2894;;0.5044;0.0000;0.5044;7.5656;9.3309;22.9491;40.6022;38.5847;22.4447;14.1225;6.8091;3.0263;0.5044;0.0000;0.0000;0.0000;37.50;27.88;27.80;
14.1;NaCl;20;100;;252.0000;191.4086;;0.2522;0.0000;0.0000;4.5397;10.0882;22.6983;47.1621;51.9540;26.4814;20.1763;6.3051;2.0176;0.5044;0.0000;0.0000;0.0000;37.48;27.79;27.89;
15.5;NaCl;20;100;;244.0000;167.7500;;0.2511;0.0000;0.5021;3.2639;10.5448;20.3363;42.4301;46.6982;22.0938;15.0640;6.7788;0.5021;0.0000;0.0000;0.0000;0.0000;37.46;27.75;27.86;
16.9;NaCl;20;100;;209.0000;178.0614;;0.5006;0.5006;1.2516;6.2579;8.5107;24.0302;46.0579;50.8139;22.5283;12.7661;3.7547;1.5019;0.2503;0.0000;0.0000;0.0000;37.42;27.70;27.81;
18.3;NaCl;20;100;;240.0000;166.3940;;0.9725;0.9725;2.1882;8.5098;11.6706;22.8549;42.5490;43.0353;19.9373;9.4824;3.8902;0.9725;0.0000;0.0000;0.0000;0.0000;37.45;27.81;27.63;
19.7;NaCl;20;100;;264.0000;167.7857;;1.0116;0.2529;1.0116;2.7819;9.6101;17.7027;37.6815;38.4402;25.0367;19.7259;8.3456;5.5637;1.2645;0.0000;0.0000;0.0000;37.45;27.71;27.46;
