Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;50;;51.2000;;;;;;;;;;;;;;;;;;;32.96;20.91;25.99;
1.4;NaCl;20;50;;47.2000;;;;;;;;;;;;;;;;;;;33.09;21.03;26.09;
2.8;NaCl;20;50;;63.0000;;;;;;;;;;;;;;;;;;;33.09;21.16;26.14;
4.2;NaCl;20;50;;66.9000;;;;;;;;;;;;;;;;;;;33.14;21.19;26.18;
5.6;NaCl;20;50;;43.3000;47.3904;;4.3268;2.5961;1.1538;0.0000;1.1538;4.6152;8.6535;8.6535;6.0575;4.3268;4.0383;1.7307;0.2885;0.0000;0.0000;0.0000;33.11;21.14;26.18;
7.0;NaCl;20;50;;35.4000;48.6403;;3.1228;1.4194;0.8517;2.2711;2.5550;4.5422;9.6522;9.0844;4.2583;5.1100;4.2583;1.1356;0.5678;0.0000;0.0000;0.0000;33.02;21.48;26.17;
8.5;NaCl;20;50;;33.4000;41.0830;;2.5277;1.1234;2.2468;2.5277;5.6171;7.3022;7.3022;6.7405;1.6851;2.8085;0.2809;0.8426;0.0000;0.2809;0.0000;0.0000;32.99;20.79;26.22;
9.9;NaCl;20;50;;55.1000;43.2486;;3.5710;1.6482;1.3735;3.0216;3.2963;5.2191;7.4167;8.5155;4.9445;3.0216;0.8241;0.5494;0.0000;0.0000;0.0000;0.0000;33.05;20.70;26.15;
11.3;NaCl;20;50;;45.3000;38.3224;;1.0919;0.5459;1.6378;1.9108;3.2757;3.2757;6.2784;6.8243;3.5486;6.2784;3.2757;0.5459;0.0000;0.0000;0.0000;0.0000;33.08;20.82;26.11;
12.7;NaCl;20;50;;39.3000;37.2608;;2.4402;1.0845;1.0845;1.8979;2.1690;4.3381;4.6092;5.4226;3.7958;5.6937;2.7113;1.0845;0.8134;0.0000;0.2711;0.0000;33.16;20.81;26.12;
14.1;NaCl;20;50;;55.1000;40.9331;;2.4018;1.0675;1.0675;2.1350;2.6687;5.8711;5.0705;6.9386;5.3374;5.3374;2.1350;0.8006;0.2669;0.0000;0.0000;0.0000;32.92;20.78;26.13;
15.5;NaCl;20;50;;41.3000;47.5874;;4.1304;2.5815;0.7744;5.4211;6.4537;6.9700;8.7771;7.7445;2.8396;1.8070;0.2581;0.0000;0.0000;0.0000;0.0000;0.0000;32.85;20.86;26.21;
16.9;NaCl;20;50;;37.4000;39.0931;;4.3609;1.0261;1.2826;1.2826;4.3609;5.9000;10.0044;5.9000;3.3348;0.7696;0.5130;0.5130;0.0000;0.0000;0.0000;0.0000;32.74;20.77;26.18;
18.3;NaCl;20;50;;19.7000;39.6100;;2.8041;2.2943;2.5492;3.8238;5.6083;3.8238;7.3927;6.6280;3.0591;1.0197;0.5098;0.2549;0.0000;0.0000;0.0000;0.0000;32.79;20.75;26.29;
19.7;NaCl;20;50;;39.3000;44.4222;;4.7889;3.0246;1.7643;2.2684;7.5615;5.2930;7.3094;7.0574;2.7725;2.0164;0.7561;0.0000;0.0000;0.0000;0.0000;0.0000;32.58;20.60;26.20;
21.1;NaCl;20;50;;23.6000;44.3809;;4.7282;2.4885;2.2397;3.4839;2.9862;7.9632;7.9632;6.4701;3.2351;2.4885;0.2489;0.2489;0.0000;0.0000;0.0000;0.0000;32.89;20.95;26.09;
