Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.6;Rus;20;50;;23.6000;18.1054;2.8721;0.0000;0.0000;0.0000;0.0000;0.0000;0.6996;2.0988;4.1975;6.9958;1.7490;0.6996;0.3498;0.3498;0.3498;0.3498;0.3498;38.85;27.53;23.52;50.99
1.7;Rus;20;50;;25.6000;17.4090;2.8721;0.0000;0.0000;0.0000;0.0000;0.0000;0.3498;3.8480;6.2968;4.1979;1.7491;0.3498;0.6996;0.0000;0.0000;0.0000;0.0000;38.87;27.50;23.52;51.00
2.7;Rus;20;50;;21.6000;24.7208;2.8721;0.0000;0.0000;0.3496;0.0000;0.0000;1.0488;3.4959;9.7885;5.5934;2.0975;2.0975;0.0000;0.0000;0.0000;0.0000;0.3496;38.87;27.50;23.52;51.00
3.7;Rus;20;50;;45.3000;18.4535;2.8721;0.0000;0.0000;0.0000;0.0000;0.0000;1.0488;2.4472;3.4960;5.2440;3.1464;1.0488;1.0488;0.3496;0.3496;0.3496;0.0000;38.85;27.46;23.50;50.97
4.7;Rus;20;50;;19.7000;18.4535;2.8721;0.0000;0.0000;0.0000;0.0000;0.0000;1.0488;2.4472;3.4960;5.2440;3.1464;1.0488;1.0488;0.3496;0.3496;0.3496;0.0000;38.97;27.57;23.51;50.97
5.7;Rus;20;50;;27.5000;22.2835;2.8721;0.3498;0.0000;0.0000;0.0000;0.0000;1.0494;2.7984;4.5474;6.9960;2.0988;0.0000;1.3992;1.7490;0.3498;0.6996;0.3498;39.08;27.60;23.51;50.98
6.7;Rus;20;50;;33.4000;21.2390;2.8721;0.0000;0.0000;0.0000;0.0000;0.0000;0.3493;2.4451;3.1437;8.7324;2.4451;0.3493;1.7465;1.7465;0.3493;0.0000;0.0000;39.08;27.60;23.51;50.98
7.7;Rus;20;50;;27.5000;22.2835;2.8721;0.0000;0.0000;0.0000;0.0000;0.0000;0.3495;3.8441;6.6398;5.5914;3.1452;1.0484;1.0484;0.3495;0.3495;0.0000;0.0000;39.14;27.63;23.50;50.98
8.7;Rus;20;50;;45.3000;24.6458;2.8808;1.0456;0.3485;0.0000;0.3485;0.6971;1.0456;1.0456;7.6680;5.9253;1.7427;1.3942;2.0913;1.3942;0.0000;0.0000;0.0000;38.97;27.64;23.51;51.00
9.8;Rus;20;50;;19.7000;29.8527;2.8808;0.3484;0.0000;0.0000;0.0000;0.0000;0.6969;4.8781;9.0592;7.3171;3.4843;1.7422;1.3937;0.6969;0.0000;0.3484;0.0000;38.97;27.64;23.51;51.00
10.8;Rus;20;50;;35.4000;26.6486;2.8895;0.0000;0.3474;0.0000;0.0000;0.3474;1.3898;4.8643;6.6015;5.9066;2.7796;2.7796;0.6949;1.0423;0.0000;0.0000;0.0000;39.05;27.73;23.52;51.00
11.8;Rus;20;50;;25.6000;24.9182;2.8895;0.0000;0.0000;0.0000;0.3475;0.0000;1.0424;3.4746;7.6441;7.9915;1.7373;1.3898;1.0424;0.0000;0.3475;0.0000;0.0000;39.11;27.75;23.52;51.00
12.8;Rus;20;50;;19.7000;22.1495;2.8895;0.3473;0.0000;0.0000;0.0000;0.6947;0.6947;2.4314;6.2522;5.2102;2.4314;1.3894;2.0841;0.6947;0.0000;0.0000;0.0000;39.11;27.75;23.52;51.00
13.8;Rus;20;50;;33.4000;25.2643;2.8895;0.0000;0.0000;0.0000;0.3473;0.3473;1.0420;3.8208;5.2102;5.9049;2.0841;1.3894;3.1261;0.6947;0.3473;0.3473;0.6947;39.18;27.79;23.52;51.00
14.8;Rus;20;50;;31.5000;20.0730;2.8895;0.0000;0.0000;0.0000;0.0000;0.3474;0.0000;2.4320;6.2537;6.9485;2.4320;0.3474;0.6949;0.3474;0.3474;0.0000;0.0000;39.15;27.75;23.50;50.99
15.8;Rus;20;50;;29.5000;23.5338;2.8895;0.3475;0.0000;0.3475;0.0000;0.0000;1.3901;1.3901;7.2979;7.9929;2.4326;1.3901;1.0426;0.0000;0.0000;0.0000;0.0000;39.15;27.75;23.50;50.99
16.8;Rus;20;50;;23.6000;27.3408;2.8895;0.0000;0.0000;0.0000;0.0000;0.6951;1.0426;5.2130;9.3834;7.2982;2.4327;1.0426;0.0000;0.0000;0.3475;0.0000;0.0000;39.15;27.70;23.51;51.00
17.9;Rus;20;50;;21.6000;24.5721;2.8895;0.3474;0.0000;0.0000;0.0000;0.3474;0.3474;2.7789;5.9051;7.6419;2.4315;1.3894;1.0421;0.6947;1.3894;0.3474;0.0000;39.24;27.86;23.51;51.02
18.9;Rus;20;50;;25.6000;27.3408;2.8895;0.3474;0.0000;0.0000;0.0000;0.0000;1.3894;1.7368;7.2946;8.6840;2.0842;1.3894;1.7368;1.0421;0.6947;0.0000;1.0421;39.24;27.86;23.51;51.02
19.9;Rus;20;50;;25.6000;25.6104;2.8895;1.0423;0.0000;0.3474;0.3474;0.0000;0.3474;4.5168;6.6015;6.2541;1.7372;1.3898;0.3474;1.3898;1.0423;0.0000;0.3474;39.21;27.83;23.52;51.01
20.9;Rus;20;50;;21.6000;25.6104;2.8895;1.0423;0.0000;0.3474;0.3474;0.0000;0.3474;4.5168;6.6015;6.2541;1.7372;1.3898;0.3474;1.3898;1.0423;0.0000;0.3474;39.23;27.79;23.52;51.03
21.9;Rus;20;50;;39.3000;24.2260;2.8895;0.0000;0.0000;0.3475;0.0000;1.0426;0.6950;3.8228;7.2980;6.6030;1.3901;1.0426;0.6950;1.3901;0.0000;0.0000;0.0000;39.23;27.79;23.52;51.03
22.9;Rus;20;50;;33.4000;22.1495;2.8895;0.0000;0.0000;0.0000;0.0000;0.0000;0.3462;4.8465;7.6160;4.8465;1.7309;1.3847;1.0385;0.3462;0.0000;0.0000;0.0000;39.33;27.71;23.52;50.99
23.9;Rus;20;50;;25.6000;25.2643;2.8895;0.3476;0.0000;0.0000;0.0000;0.0000;0.6951;2.7804;5.2133;10.0791;2.7804;1.0427;0.6951;0.3476;1.0427;0.0000;0.3476;39.27;27.75;23.52;50.97
24.9;Rus;20;50;;19.7000;30.4556;2.8895;0.0000;0.0000;0.0000;0.0000;0.3478;2.7821;3.8254;6.9553;8.6941;4.5209;0.6955;1.0433;1.0433;0.6955;0.0000;0.0000;39.27;27.75;23.52;50.97
25.9;Rus;20;50;;35.4000;23.5338;2.8895;0.0000;0.0000;0.0000;0.3476;0.6953;0.6953;2.4335;4.5194;7.6482;3.1288;1.0429;1.0429;1.0429;0.6953;0.0000;0.3476;39.47;27.86;23.52;51.01
26.9;Rus;20;50;;41.3000;22.4956;2.8895;0.6953;0.0000;0.0000;0.0000;0.0000;0.3477;2.4336;7.3008;6.9532;0.6953;1.3906;2.0859;0.3477;0.0000;0.3477;0.0000;39.48;27.84;23.51;50.98
28.0;Rus;20;50;;31.5000;27.3408;2.8895;0.0000;0.0000;0.0000;0.0000;0.0000;0.6955;4.8684;6.9548;6.6071;2.7819;1.3910;2.0864;1.7387;0.0000;0.0000;0.3477;39.48;27.84;23.51;50.98
29.0;Rus;20;50;;33.4000;34.9547;2.8895;0.0000;0.0000;0.0000;0.0000;1.3901;0.3475;4.1702;9.7305;12.8581;2.7801;1.0426;1.3901;0.3475;0.3475;0.3475;0.3475;39.34;27.82;23.50;50.96
30.0;Rus;20;50;;25.6000;29.4173;2.8895;0.0000;0.0000;0.0000;0.0000;1.0425;2.0850;4.5174;6.9499;7.9924;2.7800;1.3900;1.3900;1.0425;0.3475;0.0000;0.0000;39.29;27.91;23.51;50.96
31.0;Rus;20;50;;27.5000;23.1878;2.8895;0.3475;0.0000;0.3475;0.0000;0.3475;0.6950;4.5178;6.6030;6.6030;0.6950;1.3901;0.6950;0.0000;0.6950;0.0000;0.3475;39.29;27.91;23.51;50.96
