Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.1;Russ;20;200;200nmp;104.0000;100.1888;2.7648;1.4523;0.0000;0.0000;0.0000;0.3631;3.2677;11.9816;26.5048;20.3324;7.6247;10.1662;10.8924;3.9939;1.8154;1.0892;1.0892;39.93;28.66;23.51;51.68
1.1;Russ;20;200;200nmp;94.5000;108.5077;2.7648;0.7261;0.0000;0.0000;0.3630;1.0891;1.8152;11.9803;23.9606;26.8650;10.8912;11.6173;10.1651;5.4456;2.9043;0.3630;0.7261;40.01;28.66;23.52;51.68
2.1;Russ;20;200;200nmp;114.0000;115.7416;2.7648;1.4528;0.0000;0.0000;0.3632;0.7264;1.0896;8.3537;27.2403;30.5091;9.0801;11.9857;15.2545;5.4481;1.8160;1.0896;1.8160;39.99;28.70;23.51;51.65
3.1;Russ;20;200;200nmp;104.0000;113.2097;2.7648;5.0856;0.0000;0.0000;0.0000;0.7265;3.2693;10.1712;24.3383;26.5178;9.8080;7.2652;13.0773;6.1754;3.9958;1.8163;1.4530;39.92;28.69;23.51;51.63
4.1;Russ;20;200;200nmp;94.5000;99.4654;2.7648;5.0828;0.0000;0.0000;0.0000;1.0892;1.8153;14.8853;20.6942;29.7706;7.9872;6.1719;7.2611;2.9044;0.7261;1.0892;0.3631;39.92;28.69;23.51;51.63
5.2;Russ;20;200;200nmp;100.0000;104.5291;2.7648;4.3555;0.0000;0.0000;0.3630;0.3630;2.9036;11.6145;22.1402;24.6809;9.7998;6.8961;10.5257;6.8961;2.5407;0.0000;1.8148;40.04;28.67;23.51;51.60
6.2;Russ;20;200;200nmp;114.0000;129.8476;2.7648;7.2611;0.0000;0.7261;0.0000;1.0892;7.9872;14.1592;27.9553;31.9489;10.5286;8.7133;9.8025;6.1719;2.9044;0.3631;0.7261;39.96;28.66;23.50;51.54
7.2;Russ;20;200;200nmp;96.5000;108.6604;2.7977;1.0768;0.7178;0.3589;0.0000;0.7178;1.7946;11.1266;24.7656;25.1245;14.3568;10.7676;9.6909;4.3071;3.5892;0.3589;0.3589;39.96;28.66;23.50;51.54
8.2;Russ;20;200;200nmp;90.5000;114.7368;2.7977;1.7951;0.0000;0.3590;0.7180;0.7180;1.7951;11.4887;28.0036;28.7217;5.7443;9.3345;12.9248;7.1804;3.5902;2.1541;0.7180;39.96;28.64;23.51;51.51
9.2;Russ;20;200;200nmp;106.0000;114.7368;2.7977;1.7951;0.0000;0.3590;0.7180;0.7180;1.7951;11.4887;28.0036;28.7217;5.7443;9.3345;12.9248;7.1804;3.5902;2.1541;0.7180;40.13;28.69;23.50;51.46
