Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;200;;146.0000;;;;;;;;;;;;;;;;;;;37.67;23.01;26.07;
1.4;NaCl;20;200;;162.0000;;;;;;;;;;;;;;;;;;;37.67;23.25;26.14;
2.8;NaCl;20;200;;173.0000;;;;;;;;;;;;;;;;;;;37.70;23.16;26.06;
4.2;NaCl;20;200;;175.0000;;;;;;;;;;;;;;;;;;;37.71;23.07;26.06;
5.6;NaCl;20;200;;183.0000;;;;;;;;;;;;;;;;;;;37.70;23.20;26.01;
7.0;NaCl;20;200;;167.0000;162.5736;;1.1804;0.9443;0.4722;1.1804;0.4722;1.1804;3.7773;14.6369;22.8996;48.3961;33.5232;23.6079;8.2628;2.3608;0.2361;0.0000;37.70;23.28;25.96;
8.5;NaCl;20;200;;199.0000;152.7558;;2.8324;0.7081;0.7081;0.4721;0.4721;0.7081;2.3604;12.0378;18.1748;36.5856;34.9334;26.2000;10.3856;4.2487;1.6523;0.9441;37.72;23.42;25.92;
9.9;NaCl;20;200;;173.0000;163.0962;;2.8315;0.0000;0.4719;1.4158;0.2360;0.0000;0.9438;4.7192;14.6295;41.0571;42.4729;33.2704;16.5172;4.4832;0.4719;0.2360;37.75;23.40;25.90;
11.3;NaCl;20;200;;171.0000;168.5981;;3.0469;0.2344;0.7031;1.4063;0.4688;1.1719;3.0469;7.7344;20.6250;38.6719;39.6094;35.1563;11.4844;3.2813;1.6406;0.9375;37.75;23.35;25.86;
12.7;NaCl;20;200;;169.0000;169.5967;;1.6160;0.6926;0.0000;0.6926;0.4617;0.0000;3.2321;12.4665;20.7775;48.7117;41.7859;29.0885;6.6950;2.7703;0.4617;0.6926;37.76;23.32;25.80;
14.1;NaCl;20;200;;173.0000;150.1478;;1.3802;0.4601;0.6901;0.6901;0.4601;0.0000;2.3004;8.2814;15.1825;37.4962;33.1255;36.3460;9.4316;2.3004;1.6103;0.9202;37.78;23.97;25.83;
15.5;NaCl;20;200;;152.0000;161.3028;;1.8374;0.2297;0.0000;0.0000;0.0000;0.0000;0.2297;5.0530;18.3744;49.6109;41.8018;31.2365;10.3356;2.9858;0.0000;0.2297;37.79;23.74;25.83;
16.9;NaCl;20;200;;179.0000;159.0148;;2.7573;0.0000;0.0000;0.2298;0.0000;0.0000;0.4596;4.3658;14.7058;46.4153;42.9686;30.7903;14.7058;2.0680;0.2298;0.0000;37.81;23.58;25.81;
18.3;NaCl;20;200;;152.0000;152.1509;;3.2157;0.0000;0.2297;0.0000;0.0000;0.0000;0.6891;4.3641;14.9299;39.7364;35.3723;35.6020;13.7814;4.1344;0.6891;0.0000;37.79;23.59;25.87;
19.7;NaCl;20;200;;167.0000;169.3108;;3.9052;0.0000;0.0000;0.0000;0.0000;0.0000;1.3783;5.0537;16.5395;50.3075;36.7544;39.5109;13.7829;2.5269;0.2297;0.0000;37.84;23.61;25.88;
21.1;NaCl;20;200;;160.0000;149.6341;;2.9856;0.0000;0.2297;0.2297;0.0000;0.0000;0.9186;3.2152;12.8610;37.8940;39.9609;32.3821;11.9424;5.0525;2.0669;0.4593;37.85;23.82;25.83;
22.6;NaCl;20;200;;138.0000;161.9892;;1.3783;0.0000;0.0000;0.0000;0.0000;0.0000;0.6892;3.6755;13.3237;50.9978;40.4307;35.6065;13.5535;2.2972;0.4594;0.2297;37.84;23.84;25.82;
24.0;NaCl;20;200;;148.0000;10.7535;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2296;1.3779;3.4447;3.6743;1.6075;0.2296;0.2296;0.0000;0.0000;37.86;23.96;25.84;
25.4;NaCl;20;200;;156.0000;105.7644;;1.3846;0.6923;1.3846;0.6923;0.4615;0.4615;2.7692;11.5385;14.0769;28.1539;16.6154;14.7692;9.9231;3.0000;0.2308;0.0000;37.85;23.75;25.85;
26.8;NaCl;20;200;;142.0000;100.5107;;1.6126;0.2304;1.1519;1.1519;0.9215;0.9215;3.2253;9.4454;14.0529;24.4198;21.4250;13.8226;6.2201;2.3038;0.0000;0.0000;37.88;23.74;25.83;
28.2;NaCl;20;200;;150.0000;113.6540;;1.3887;1.1573;0.9258;2.7774;1.8516;2.0831;5.0920;19.2107;18.9792;26.1543;16.4332;10.8783;6.7122;0.2315;0.2315;0.0000;37.90;23.89;25.84;
29.6;NaCl;20;200;;173.0000;154.3018;;1.6134;0.2305;0.0000;0.0000;0.2305;0.0000;0.2305;3.6877;16.1337;46.7877;38.4904;33.4198;11.7545;1.8438;0.4610;0.0000;37.92;23.81;25.90;
31.0;NaCl;20;200;;146.0000;170.6046;;2.5359;0.0000;0.0000;0.2305;0.0000;0.0000;0.6916;3.9192;16.1378;59.2489;40.5751;34.5811;10.6049;2.3054;0.2305;0.2305;37.93;23.77;25.98;
32.4;NaCl;20;200;;138.0000;157.2869;;0.9222;0.0000;0.0000;0.0000;0.0000;0.0000;0.6917;5.3028;14.0639;48.4166;41.0388;30.2027;13.1417;2.9972;0.6917;0.4611;37.92;23.89;25.92;
33.8;NaCl;20;200;;154.0000;156.1388;;2.0742;0.2305;0.0000;0.2305;0.0000;0.2305;0.6914;5.5313;18.4377;41.0239;34.3402;33.4183;15.4416;3.6875;0.9219;0.4609;37.97;24.07;25.94;
35.2;NaCl;20;200;;187.0000;145.8563;;1.8481;0.4620;0.9241;0.4620;0.2310;0.4620;2.0791;5.5443;15.7089;34.6520;28.8767;32.3419;14.0918;6.0063;1.6171;1.1551;37.97;24.08;25.87;
36.6;NaCl;20;200;;177.0000;145.3895;;1.3858;0.4619;0.2310;0.2310;0.4619;0.2310;2.7717;13.1655;18.9398;44.1159;28.1787;22.8663;8.5460;4.1575;0.2310;0.0000;38.01;24.21;25.83;
38.0;NaCl;20;200;;193.0000;145.6662;;1.1568;0.2314;0.6941;0.6941;0.4627;0.4627;2.5450;12.0309;16.1954;45.5785;27.9949;22.9049;10.4113;3.0077;1.1568;0.6941;38.04;24.18;25.82;
39.5;NaCl;20;200;;152.0000;151.1865;;0.9252;0.2313;0.4626;0.4626;0.0000;0.0000;0.4626;3.4697;13.6474;48.8066;43.0239;21.9745;13.8787;3.2384;0.6939;0.4626;38.04;24.23;25.89;
40.9;NaCl;20;200;;181.0000;23.0467;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4628;2.3139;8.5614;6.4789;2.7767;1.8511;0.2314;0.4628;0.0000;38.10;24.24;25.86;
42.3;NaCl;20;200;;181.0000;147.2686;;2.7767;0.0000;0.2314;0.2314;0.0000;0.0000;0.4628;2.5453;9.0244;36.5605;41.4198;29.1558;18.5116;5.0907;1.8512;0.0000;38.11;24.06;25.90;
43.7;NaCl;20;200;;173.0000;142.8897;;2.7773;0.0000;0.2314;0.0000;0.2314;0.4629;0.2314;3.2402;14.1181;37.0312;34.4853;31.2451;15.9697;2.3144;0.9258;0.2314;38.13;23.99;25.94;
45.1;NaCl;20;200;;183.0000;133.2101;;1.3875;0.0000;0.0000;0.0000;0.0000;0.0000;0.2313;3.0063;10.8688;34.6877;37.4628;32.6065;11.7938;1.3875;0.0000;0.2313;38.16;23.91;25.96;
