Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;100;;181.0000;;;;;;;;;;;;;;;;;;;32.76;19.23;26.74;
1.4;NaCl;20;100;;148.0000;;;;;;;;;;;;;;;;;;;32.67;19.26;26.75;
2.8;NaCl;20;100;;197.0000;;;;;;;;;;;;;;;;;;;32.73;19.52;26.85;
4.2;NaCl;20;100;;177.0000;;;;;;;;;;;;;;;;;;;32.88;19.57;26.85;
5.7;NaCl;20;100;;191.0000;;;;;;;;;;;;;;;;;;;32.63;19.44;26.76;
7.1;NaCl;20;100;;150.0000;228.0903;;0.2459;0.4918;0.2459;4.1803;6.3933;21.8849;76.7199;99.3425;15.9833;2.4590;0.7377;0.2459;0.0000;0.0000;0.0000;0.0000;32.68;19.53;26.74;
8.5;NaCl;20;100;;152.0000;229.0703;;0.9839;0.0000;0.9839;3.4437;3.6897;17.9567;60.0195;90.2752;24.5982;15.4968;9.3473;2.7058;0.4920;0.0000;0.0000;0.0000;32.83;19.56;26.79;
9.9;NaCl;20;100;;193.0000;224.2059;;0.4897;0.4897;0.7346;2.6935;6.8561;20.8131;48.4824;68.0712;26.9346;23.2617;18.6094;5.8767;1.4692;0.2449;0.0000;0.0000;32.99;19.59;26.87;
11.3;NaCl;20;100;;167.0000;216.2860;;0.7318;0.9758;1.4636;4.3909;6.8303;22.9303;57.0818;82.9393;17.5636;10.2454;7.5621;3.1712;1.2197;0.0000;0.0000;0.0000;33.00;19.64;26.69;
12.7;NaCl;20;100;;162.0000;228.1901;;1.6971;0.2424;0.7273;3.6366;4.8488;12.1219;40.0023;69.5797;36.1233;30.3048;18.4253;9.2126;2.1819;0.0000;0.0000;0.0000;33.02;19.60;26.54;
14.1;NaCl;20;100;;162.0000;217.8745;;0.9689;0.2422;0.2422;2.1801;4.1179;18.6517;50.8682;79.4512;27.1297;19.1361;11.6270;3.3912;0.7267;0.0000;0.0000;0.0000;32.96;19.62;26.48;
15.5;NaCl;20;100;;162.0000;219.3222;;1.2111;0.4844;0.2422;1.4533;4.3598;14.0484;42.1452;62.9756;23.7369;36.8165;18.8927;11.6263;1.9377;0.2422;0.0000;0.0000;32.96;19.72;26.46;
16.9;NaCl;20;100;;181.0000;215.6189;;0.2415;0.2415;1.4493;1.9323;5.7970;16.4249;62.8011;84.0569;18.3572;12.0771;6.5217;5.5555;0.9662;0.0000;0.0000;0.0000;32.87;19.66;26.54;
18.3;NaCl;20;100;;163.0000;217.2385;;0.0000;0.4799;2.1598;1.9198;8.1591;23.7575;66.7129;76.7918;16.5582;13.6785;5.5194;2.1598;0.2400;0.0000;0.0000;0.0000;32.92;19.58;26.45;
19.8;NaCl;20;100;;165.0000;235.3821;;1.2691;1.2691;1.7767;3.5534;6.8529;20.8126;60.1536;76.9052;26.9041;22.5893;10.1525;3.5534;0.5076;0.0000;0.0000;0.0000;32.91;19.65;26.40;
21.2;NaCl;20;100;;175.0000;225.1308;;1.0029;0.5015;0.5015;2.2566;4.7638;18.8047;63.6851;72.2099;23.8192;22.8163;10.2799;4.7638;0.5015;0.0000;0.0000;0.0000;33.19;19.84;26.52;
22.6;NaCl;20;100;;150.0000;226.6760;;1.0000;0.2500;0.0000;0.7500;3.2499;9.4996;39.4985;58.9978;29.4989;37.9986;27.4990;14.9994;3.7499;0.5000;0.0000;0.0000;33.07;19.71;26.70;
24.0;NaCl;20;100;;162.0000;226.6760;;0.7501;0.0000;1.2502;2.5003;4.7506;18.5025;59.0079;89.0119;20.0027;12.0016;10.7514;6.7509;2.0003;0.2500;0.0000;0.0000;33.03;19.36;26.77;
25.4;NaCl;20;100;;158.0000;219.7078;;0.4959;0.4959;0.7439;2.9755;6.9428;21.5723;72.4036;86.0413;14.6295;8.6785;3.4714;1.9837;0.2480;0.0000;0.0000;0.0000;32.84;19.31;26.92;
26.8;NaCl;20;100;;146.0000;223.8963;;0.2475;0.2475;0.4950;4.2079;11.6335;35.6431;81.6822;79.7020;7.4257;2.2277;0.7426;0.4950;0.0000;0.0000;0.0000;0.0000;32.86;19.25;26.95;
28.2;NaCl;20;100;;175.0000;208.2455;;3.4557;0.2468;0.4937;4.9367;9.6266;27.3989;62.2028;77.2599;16.7849;4.6899;1.9747;0.0000;0.0000;0.0000;0.0000;0.0000;33.06;19.40;26.87;
29.6;NaCl;20;100;;148.0000;213.4294;;3.7218;0.7444;0.0000;3.7218;7.1955;15.3835;57.8121;70.7143;27.2932;18.8572;6.9474;1.2406;0.4962;0.2481;0.0000;0.0000;33.10;19.35;26.80;
31.0;NaCl;20;100;;140.0000;193.2557;;3.9163;1.4686;0.4895;4.6506;5.8744;17.1337;52.8697;71.4720;21.7843;10.0355;3.9163;0.2448;0.2448;0.0000;0.0000;0.0000;32.83;19.24;26.66;
