Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;400;;27.5000;;;;;;;;;;;;;;;;;;;30.49;19.48;26.49;
1.4;NaCl;20;400;;19.7000;;;;;;;;;;;;;;;;;;;30.80;19.55;26.48;
2.8;NaCl;20;400;;17.7000;;;;;;;;;;;;;;;;;;;30.85;19.68;26.52;
4.2;NaCl;20;400;;41.3000;;;;;;;;;;;;;;;;;;;30.82;19.66;26.48;
5.6;NaCl;20;400;;39.3000;26.5922;;0.0000;0.1413;0.0000;0.8475;3.1075;6.6388;5.7913;5.6500;1.8363;1.4125;1.1300;0.1413;0.0000;0.0000;0.0000;0.0000;30.99;19.78;26.48;
7.0;NaCl;20;400;;43.3000;28.4009;;0.1462;0.1462;0.1462;0.5849;2.9243;7.3107;8.3342;5.2637;1.3159;1.6083;0.4386;0.2924;0.0000;0.0000;0.0000;0.0000;30.82;19.61;26.60;
8.5;NaCl;20;400;;41.3000;32.7155;;0.1507;0.1507;0.1507;2.5612;4.3690;12.8058;9.1900;2.2598;0.9039;0.1507;0.1507;0.0000;0.0000;0.0000;0.0000;0.0000;30.82;19.60;26.57;
9.9;NaCl;20;400;;41.3000;30.0716;;0.0000;0.1614;0.0000;1.6144;4.0359;10.3320;10.6549;3.0673;0.1614;0.0000;0.1614;0.0000;0.0000;0.0000;0.0000;0.0000;30.79;19.67;26.54;
11.3;NaCl;20;400;;39.3000;29.2676;;0.0000;0.0000;0.1616;0.4847;5.0084;10.6631;6.7856;4.8469;0.9694;0.3231;0.0000;0.1616;0.0000;0.0000;0.0000;0.0000;30.88;19.67;26.46;
12.7;NaCl;20;400;;45.3000;29.7008;;0.1648;0.1648;0.3295;0.8238;4.1188;10.0500;7.5787;3.7893;1.3180;0.6590;0.6590;0.0000;0.1648;0.0000;0.0000;0.0000;31.00;19.83;26.33;
14.1;NaCl;20;400;;53.1000;32.9140;;0.0000;0.1678;0.1678;0.5035;2.6853;9.3986;6.7133;6.3776;2.8531;3.5245;0.6713;0.0000;0.0000;0.0000;0.0000;0.0000;31.00;19.75;26.26;
15.5;NaCl;20;400;;64.9000;34.0541;;0.1754;0.3507;0.0000;1.4029;5.7871;10.8727;9.1190;3.1566;1.2276;1.5783;0.3507;0.1754;0.0000;0.0000;0.0000;0.0000;30.93;19.82;26.21;
16.9;NaCl;20;400;;47.2000;38.2453;;0.0000;0.0000;0.1753;0.5260;4.7339;7.0131;10.8703;9.2924;1.9286;2.8053;0.8766;0.1753;0.0000;0.0000;0.0000;0.0000;31.16;19.77;26.24;
18.3;NaCl;20;400;;37.4000;38.2143;;0.1792;0.3583;0.0000;0.7166;1.7916;6.2706;7.8830;11.1079;5.1956;3.0457;1.6124;0.1792;0.0000;0.0000;0.0000;0.0000;31.02;19.93;26.22;
19.7;NaCl;20;400;;31.5000;40.8929;;0.0000;0.0000;0.5383;1.2559;3.5884;10.0476;9.8682;7.8945;3.0502;2.5119;1.6148;0.7177;0.0000;0.0000;0.0000;0.0000;31.17;19.87;26.16;
21.1;NaCl;20;400;;51.2000;37.5362;;0.0000;0.0000;0.0000;0.1831;0.7323;5.4923;8.7877;8.7877;4.0277;5.3093;2.1969;2.0139;0.1831;0.0000;0.0000;0.0000;31.26;19.91;26.12;
22.5;NaCl;20;400;;29.5000;39.0811;;0.0000;0.7473;0.0000;1.3078;3.1760;8.0333;10.0884;6.3519;3.5496;1.8682;2.6155;1.1209;0.3736;0.0000;0.0000;0.0000;31.06;19.75;26.14;
24.0;NaCl;20;400;;39.3000;37.2201;;0.0000;0.0000;0.0000;0.9338;5.9761;10.8317;13.6330;4.1086;1.4940;0.3735;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;31.31;19.90;26.16;
25.4;NaCl;20;400;;43.3000;37.9090;;0.1903;0.0000;0.1903;0.9513;0.1903;4.9465;7.6100;7.0393;6.4685;6.0880;3.0440;1.3318;0.0000;0.0000;0.0000;0.0000;31.29;19.94;26.11;
26.8;NaCl;20;400;;33.4000;35.2553;;0.0000;0.0000;0.0000;1.3325;3.8071;8.3755;10.4694;7.0431;1.1421;1.3325;0.7614;0.9518;0.1904;0.0000;0.0000;0.0000;31.44;19.99;26.08;
28.2;NaCl;20;400;;23.6000;34.6867;;0.0000;0.0000;0.1903;0.5708;0.5708;3.8053;7.2302;8.3718;4.5664;5.8983;2.8540;0.7611;0.0000;0.0000;0.0000;0.0000;31.43;20.01;26.08;
29.6;NaCl;20;400;;39.3000;36.2031;;0.0000;0.0000;0.3807;1.3326;5.5206;11.0412;9.8990;6.6628;0.9518;0.5711;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;31.22;19.85;26.19;
31.0;NaCl;20;400;;37.4000;35.4449;;0.3804;0.0000;0.3804;1.5217;3.8042;10.4616;12.1735;3.9944;1.3315;1.1413;0.3804;0.0000;0.0000;0.0000;0.0000;0.0000;31.13;19.85;26.24;
32.4;NaCl;20;400;;21.6000;39.3015;;0.0000;0.1934;0.3868;0.9670;5.8020;11.2173;10.6371;7.1558;1.5472;0.5802;0.3868;0.5802;0.0000;0.0000;0.0000;0.0000;31.37;19.96;26.24;
33.8;NaCl;20;400;;37.4000;36.4591;;0.0000;0.1936;0.0000;0.1936;1.1616;6.7761;8.9058;8.3249;4.8401;3.4849;2.1296;0.5808;0.0000;0.0000;0.0000;0.0000;31.63;20.18;26.25;
35.2;NaCl;20;400;;25.6000;36.8629;;0.1948;0.0000;0.7791;1.3634;5.0640;8.5698;8.3750;4.2849;2.1424;2.7267;1.9477;1.1686;0.3895;0.0000;0.0000;0.0000;31.47;20.09;26.27;
