Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.9;Russ;20;100;200nmp;63.0000;45.1207;2.7703;0.7253;0.3626;0.0000;0.0000;1.4505;3.2637;6.8899;12.6920;6.5273;2.1758;3.2637;3.9889;2.1758;1.0879;0.3626;0.3626;38.98;26.60;23.35;51.18
1.9;Russ;20;100;200nmp;51.2000;52.3400;2.7703;2.1747;0.0000;0.3625;0.7249;1.4498;3.9870;9.0615;13.4109;9.0615;1.4498;0.7249;3.9870;5.0744;1.0874;0.0000;0.0000;39.05;27.05;23.37;51.19
2.9;Russ;20;100;200nmp;63.0000;53.3012;2.7767;0.0000;0.3616;0.7232;0.7232;1.8080;4.7008;10.4864;16.2721;7.2320;1.8080;2.1696;3.2544;2.5312;0.3616;0.7232;0.3616;39.09;27.14;23.37;51.20
3.9;Russ;20;100;200nmp;70.8000;50.7802;2.7767;0.7231;0.0000;0.0000;0.3615;0.3615;5.0614;9.0383;11.2075;7.5922;1.4461;2.1692;3.2538;5.7845;2.1692;1.0846;0.7231;39.09;27.14;23.37;51.20
4.9;Russ;20;100;200nmp;63.0000;61.9447;2.7767;0.7233;0.0000;0.3616;0.0000;1.0849;3.6163;12.2955;15.5502;6.5094;2.1698;1.8082;6.5094;2.5314;4.3396;3.9780;0.7233;39.19;27.16;23.37;51.19
6.0;Russ;20;100;200nmp;35.4000;48.9900;2.7761;1.8083;0.3617;0.3617;0.0000;0.0000;2.5316;9.4031;10.1264;7.2331;1.0850;0.7233;2.5316;5.7865;4.3399;1.4466;1.4466;39.26;27.24;23.37;51.19
7.0;Russ;20;100;200nmp;45.3000;56.9149;2.7761;2.8936;0.0000;0.7234;0.0000;0.7234;2.1702;5.7872;9.7660;7.9575;1.8085;2.5319;6.1489;6.1489;5.0638;3.2553;2.1702;39.26;27.24;23.37;51.19
8.0;Russ;20;100;200nmp;63.0000;47.9094;2.7761;3.9774;0.0000;0.0000;0.0000;0.7232;1.8079;5.4238;8.6781;9.0397;0.7232;1.0848;4.7006;5.0622;4.3390;0.3616;2.1695;39.25;27.27;23.37;51.20
9.0;Russ;20;100;200nmp;61.0000;47.9094;2.7761;3.9774;0.0000;0.0000;0.0000;0.7232;1.8079;5.4238;8.6781;9.0397;0.7232;1.0848;4.7006;5.0622;4.3390;0.3616;2.1695;39.36;27.27;23.36;51.19
10.0;Russ;20;100;200nmp;51.2000;52.3716;2.7687;3.9903;0.3628;0.0000;0.7255;0.3628;3.2648;6.8923;8.7061;6.8923;0.7255;0.7255;4.7158;3.6275;6.5296;1.8138;3.2648;39.36;27.27;23.36;51.19
11.0;Russ;20;100;200nmp;53.1000;20.9486;2.7687;1.4503;0.0000;0.0000;0.0000;0.0000;0.7252;2.9006;3.6258;2.9006;1.0877;0.0000;1.4503;3.2632;0.7252;2.1755;0.7252;39.30;27.25;23.37;51.19
12.0;Russ;20;100;200nmp;59.0000;56.3674;2.7853;1.0814;0.3605;0.0000;0.0000;0.7209;1.4419;6.8490;11.1747;10.0933;1.4419;1.4419;6.1281;6.4885;3.9652;2.8838;2.5233;39.37;27.27;23.36;51.20
13.0;Russ;20;100;200nmp;70.8000;62.5037;2.7838;7.2129;0.7213;0.0000;0.3606;0.7213;2.5245;5.7704;10.8194;7.9342;1.0819;0.7213;3.2458;5.7704;2.8852;5.4097;7.5736;39.37;27.27;23.36;51.20
14.1;Russ;20;100;200nmp;53.1000;19.3977;2.7838;1.4432;0.0000;0.0000;0.0000;0.0000;1.0824;2.8864;2.8864;1.0824;0.3608;0.7216;1.8040;2.1648;1.8040;2.5256;0.7216;39.59;27.31;23.37;51.21
15.1;Russ;20;100;200nmp;57.1000;71.0673;2.7298;13.9732;1.4709;0.0000;0.0000;0.3677;1.8386;4.0449;7.7220;3.3094;1.4709;2.2063;6.2512;4.7803;5.8834;4.4126;13.6054;39.61;27.32;23.37;51.19
16.1;Russ;20;100;200nmp;53.1000;55.9080;2.7545;5.1006;1.0930;0.0000;0.0000;0.0000;3.2790;6.5579;6.9223;5.8293;0.7287;1.8216;4.0076;5.1006;4.3720;4.3720;6.9223;39.61;27.32;23.37;51.19
17.1;Russ;20;100;200nmp;63.0000;56.5273;2.7774;12.2843;0.7226;0.3613;0.3613;0.3613;1.0839;4.3356;6.1421;6.1421;1.0839;0.7226;2.5291;2.8904;2.8904;3.6130;11.2004;39.50;27.34;23.36;51.19
18.1;Russ;20;100;200nmp;61.0000;50.0465;2.7774;6.1456;0.0000;0.0000;0.0000;0.3615;1.4460;4.6996;7.5916;5.0611;1.0845;0.3615;1.0845;6.5071;5.0611;2.5305;8.3146;39.57;27.39;23.37;51.21
