Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.8;Russ;20;100;200nmp;61.0000;76.2430;2.8855;1.3928;0.3482;0.3482;0.3482;1.0446;6.6157;12.8832;10.7940;6.6157;7.6603;6.6157;7.6603;4.8747;6.2675;2.0892;1.0446;38.14;27.03;23.37;51.29
1.8;Russ;20;100;200nmp;74.8000;68.6395;2.8555;3.5158;0.7032;0.0000;0.0000;0.0000;3.8674;5.6253;13.0085;9.1411;5.2737;5.6253;7.7348;6.6800;4.5706;1.4063;1.7579;38.38;27.03;23.36;51.25
2.8;Russ;20;100;200nmp;45.3000;76.6941;2.8555;3.5180;0.0000;0.3518;0.3518;1.0554;6.3324;9.8504;10.5540;8.4432;3.5180;5.6288;7.0360;10.2022;4.9252;2.1108;3.1662;38.38;27.03;23.36;51.25
3.8;Russ;20;100;200nmp;49.2000;71.1429;2.8815;4.5303;1.0455;0.6970;0.3485;1.0455;4.1819;9.7577;11.5001;7.6667;2.4394;5.9243;9.4092;4.1819;3.8334;2.4394;2.4394;38.43;27.17;23.37;51.28
4.9;Russ;20;100;200nmp;64.9000;68.0196;2.8815;0.6969;0.0000;0.0000;0.6969;1.3937;3.4843;12.1950;12.8919;9.7560;4.1811;5.2264;9.7560;4.5296;2.0906;0.6969;0.6969;38.53;27.28;23.38;51.28
5.9;Russ;20;100;200nmp;51.2000;63.7490;2.8393;2.1219;0.3536;0.0000;0.3536;1.4146;2.1219;10.2557;12.7312;7.4266;5.6583;5.3047;6.0120;4.9510;2.4755;0.7073;2.1219;38.53;27.28;23.38;51.28
6.9;Russ;20;100;200nmp;49.2000;56.3496;2.8572;3.1652;0.7034;0.3517;0.3517;0.7034;3.1652;10.9023;9.1438;6.6820;2.4618;3.1652;6.3303;5.2753;2.1101;1.0551;1.0551;38.58;27.24;23.38;51.29
7.9;Russ;20;100;200nmp;84.6000;63.6730;2.8426;1.4126;0.7063;0.7063;0.0000;0.0000;3.8845;10.2411;13.0662;10.2411;2.4720;3.8845;7.7691;7.4160;1.4126;0.3531;0.3531;38.68;27.47;23.38;51.29
8.9;Russ;20;100;200nmp;63.0000;60.3717;2.8325;0.3545;1.0634;0.7089;0.3545;1.4179;3.8992;9.9252;13.1155;7.0895;5.3171;6.3805;3.1903;4.6081;1.4179;0.7089;1.0634;38.67;27.55;23.38;51.27
9.9;Russ;20;100;200nmp;57.1000;60.3717;2.8325;0.3545;1.0634;0.7089;0.3545;1.4179;3.8992;9.9252;13.1155;7.0895;5.3171;6.3805;3.1903;4.6081;1.4179;0.7089;1.0634;38.67;27.55;23.38;51.27
10.9;Russ;20;100;200nmp;64.9000;64.5627;2.8345;1.0632;0.3544;0.0000;1.4176;0.7088;4.2527;11.6948;15.5931;10.6317;3.8983;4.9615;5.6702;2.8351;0.7088;1.0632;0.0000;38.67;27.41;23.37;51.28
