Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;200;;156.0000;;;;;;;;;;;;;;;;;;;38.49;25.29;26.17;
1.4;NaCl;20;200;;175.0000;;;;;;;;;;;;;;;;;;;38.49;25.09;26.24;
2.8;NaCl;20;200;;193.0000;;;;;;;;;;;;;;;;;;;38.49;25.10;26.18;
4.3;NaCl;20;200;;201.0000;;;;;;;;;;;;;;;;;;;38.51;24.56;26.16;
5.7;NaCl;20;200;;201.0000;139.3940;;1.6206;0.2315;0.6945;1.3891;1.8521;0.9260;7.6399;15.9742;18.9839;34.2636;25.4662;21.7620;7.4083;1.3891;0.2315;0.0000;38.50;24.38;26.23;
7.1;NaCl;20;200;;201.0000;137.2069;;2.9931;0.4605;0.2302;1.1512;2.0721;0.4605;2.9931;12.2026;15.6562;37.2987;31.5427;20.0308;8.0584;2.0721;0.4605;0.0000;38.52;24.36;26.43;
8.5;NaCl;20;200;;201.0000;32.3515;;0.0000;0.0000;0.0000;0.2303;0.4606;0.4606;1.3818;2.0727;4.6060;8.9816;5.5271;6.9089;1.3818;0.4606;0.0000;0.0000;38.54;24.39;26.57;
9.9;NaCl;20;200;;201.0000;127.5556;;0.9195;0.2299;1.1494;2.5286;0.9195;0.6896;4.1377;8.5053;15.8612;29.1938;29.6536;22.5275;7.8157;3.4481;0.4597;0.0000;38.53;24.34;26.71;
11.3;NaCl;20;200;;201.0000;112.8941;;1.1516;0.2303;0.0000;0.4607;0.2303;0.0000;2.3033;11.2861;11.9771;26.7182;24.6452;21.6510;9.2132;2.0730;0.9213;0.4607;38.56;24.41;26.98;
12.7;NaCl;20;200;;201.0000;133.5192;;3.4465;0.2298;0.4595;2.0679;1.1488;0.6893;2.9870;11.0288;16.7729;26.4231;27.1124;23.6659;12.6371;3.9060;0.9191;0.4595;38.59;24.45;27.16;
14.1;NaCl;20;200;;201.0000;119.0909;;1.1491;0.0000;0.2298;0.9193;1.6087;0.6894;2.0683;11.2609;14.2485;28.0375;22.7517;26.4287;7.1243;2.2982;0.4596;0.2298;38.58;24.48;27.22;
15.6;NaCl;20;200;;201.0000;122.9811;;1.3766;0.6883;1.1472;2.2943;1.1472;0.6883;3.4415;12.6187;13.9953;31.2027;25.6963;21.5665;4.5886;2.5237;0.4589;0.0000;38.59;24.47;27.23;
17.0;NaCl;20;200;;201.0000;119.5523;;1.3769;0.0000;1.1475;0.9180;1.1475;1.8359;3.4424;11.7040;13.3104;29.1453;20.8836;25.2439;7.5732;1.6064;0.6885;0.0000;38.59;24.43;27.16;
18.4;NaCl;20;200;;201.0000;125.0620;;1.6084;0.2298;0.4596;1.3787;1.3787;0.4596;3.2169;13.5568;16.0844;37.2238;23.8968;17.9226;5.5146;2.2978;0.2298;0.0000;38.57;24.36;27.02;
19.8;NaCl;20;200;;201.0000;128.9559;;1.3794;0.0000;0.0000;1.1495;0.6897;1.6093;5.7476;15.4036;18.3924;37.7044;21.8409;17.0129;5.2878;2.0691;0.9196;0.2299;38.58;24.41;27.07;
21.2;NaCl;20;200;;201.0000;116.1297;;0.6913;0.0000;0.2304;2.7652;0.6913;1.6130;3.6869;13.3649;11.9823;27.1907;21.8908;20.2778;9.2172;2.3043;0.2304;0.4609;38.59;24.49;27.13;
22.6;NaCl;20;200;;201.0000;27.8242;;0.4618;0.2309;0.2309;0.2309;0.2309;0.2309;0.9236;3.0016;3.9252;5.0796;5.7723;5.5414;1.8471;0.2309;0.0000;0.0000;38.61;24.51;27.25;
24.0;NaCl;20;200;;201.0000;120.4949;;0.6925;0.0000;0.6925;2.0775;1.8466;1.3850;6.0015;15.0039;17.5430;30.9310;23.7754;13.3881;5.0782;1.3850;0.9233;0.2308;38.63;24.56;27.25;
25.4;NaCl;20;200;;201.0000;50.3595;;0.4616;0.0000;0.0000;0.4616;0.6924;0.0000;1.6156;3.0005;4.8469;11.7710;10.3862;9.4630;4.8469;2.5388;0.4616;0.0000;38.65;24.72;27.10;
26.8;NaCl;20;200;;201.0000;120.0340;;1.8492;0.2312;0.6935;0.9246;0.9246;0.4623;3.4673;9.4774;13.6382;30.7437;27.9699;16.1809;9.7086;3.2362;0.4623;0.4623;38.67;24.72;27.08;
28.3;NaCl;20;200;;201.0000;110.0713;;0.6963;0.4642;0.2321;1.1605;0.6963;0.6963;3.2493;9.7479;12.3010;33.4215;20.1922;18.1033;6.4986;2.3209;0.4642;0.2321;38.69;24.74;26.99;
29.7;NaCl;20;200;;201.0000;121.4021;;1.3928;0.0000;0.2321;0.2321;1.3928;0.4643;3.2498;6.2675;13.9277;29.2482;25.7663;24.3735;12.0707;2.3213;0.6964;0.2321;38.71;24.85;26.87;
31.1;NaCl;20;200;;201.0000;117.0085;;1.6267;0.0000;0.6972;1.3943;1.1619;0.2324;2.5563;6.2745;15.1052;29.9780;26.7245;17.6614;8.5983;4.4154;0.6972;0.4648;38.72;24.83;26.88;
32.5;NaCl;20;200;;201.0000;112.1524;;0.9283;0.0000;0.6962;0.6962;1.6246;0.6962;3.2491;10.2115;16.2455;29.0099;21.8154;19.0305;6.4982;1.8566;0.0000;0.0000;38.68;24.73;26.82;
33.9;NaCl;20;200;;201.0000;110.9962;;0.4641;0.0000;1.3924;1.3924;1.3924;0.4641;5.3374;16.0121;14.3877;20.8853;18.7968;18.3327;6.7297;4.4091;1.3924;0.0000;38.68;24.71;26.85;
35.3;NaCl;20;200;;185.0000;108.2097;;1.3930;0.0000;0.4643;1.3930;0.9287;0.4643;3.7148;8.3582;16.4843;28.0930;19.9669;14.6269;8.3582;3.0183;0.6965;0.6965;38.72;24.85;26.86;
36.7;NaCl;20;200;;211.0000;98.6769;;1.1635;0.2327;0.2327;0.0000;1.1635;0.2327;2.3270;8.8425;13.2638;22.5717;20.7102;17.2197;6.7483;2.5597;0.9308;0.9308;38.70;24.70;26.80;
38.1;NaCl;20;200;;189.0000;118.3444;;1.6310;0.2330;0.4660;1.3980;1.6310;1.8640;5.1260;12.8151;14.2131;27.2613;20.9702;18.6402;7.6891;3.0290;1.6310;0.2330;38.72;24.72;26.74;
39.5;NaCl;20;200;;169.0000;116.4880;;2.0964;0.0000;0.4659;1.6305;0.9317;0.9317;4.1928;10.7149;11.8796;27.7190;18.1687;18.4017;13.5101;4.8916;1.1647;0.2329;38.76;24.81;26.73;
40.9;NaCl;20;200;;199.0000;127.1622;;2.0964;0.0000;0.4659;1.1647;1.1647;0.0000;2.7952;12.3454;12.5783;26.5543;30.0483;21.1968;10.4820;4.6586;1.8635;0.2329;38.77;24.80;26.76;
42.3;NaCl;20;200;;195.0000;118.1124;;1.6312;0.0000;0.6991;0.9321;1.6312;0.6991;3.0294;9.5543;12.1177;29.1290;22.1381;22.3711;10.0204;2.7964;0.9321;0.9321;38.78;24.80;26.72;
