Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.1;Russ;20;100;200nmp;64.9000;42.5543;2.8434;1.0592;1.4122;0.0000;1.4122;0.7061;3.1775;7.4141;11.2976;4.9427;1.4122;2.1183;3.8836;2.1183;0.7061;1.0592;0.0000;35.82;24.03;23.37;51.38
1.1;Russ;20;100;200nmp;41.3000;35.5205;2.8434;0.7064;0.0000;0.3532;0.3532;0.7064;4.2383;7.0638;6.7106;3.8851;0.3532;3.1787;3.1787;3.8851;0.7064;0.3532;0.0000;35.84;24.15;23.37;51.37
2.1;Russ;20;100;200nmp;53.1000;34.0058;2.8525;1.4077;0.3519;0.7038;0.3519;0.0000;3.5192;10.2056;5.9826;2.8154;2.1115;1.7596;2.4634;1.0558;1.0558;0.3519;0.0000;35.84;24.15;23.37;51.37
3.1;Russ;20;100;200nmp;59.0000;37.9778;2.8701;1.7481;0.6992;0.6992;1.0489;1.0489;5.2443;6.2932;7.6917;4.8947;1.3985;1.3985;2.0977;2.0977;1.0489;0.6992;0.0000;36.02;24.24;23.36;51.36
4.2;Russ;20;100;200nmp;66.9000;44.4622;2.8789;2.7904;0.3488;0.3488;0.6976;0.3488;3.4880;8.7201;9.7665;6.9761;1.0464;1.3952;3.8368;1.3952;3.1392;0.3488;0.0000;36.20;24.34;23.36;51.35
5.2;Russ;20;100;200nmp;64.9000;38.2097;2.8789;0.3487;0.0000;0.3487;0.3487;0.0000;4.1843;7.3225;10.8095;1.7435;0.6974;2.4408;4.8817;2.0922;1.3948;1.0461;0.6974;36.20;24.34;23.36;51.35
6.2;Russ;20;100;200nmp;39.3000;38.1280;2.8850;0.6961;0.6961;0.6961;0.6961;1.0441;3.8283;8.0047;6.2645;4.1763;1.3921;2.4362;4.1763;3.1323;0.3480;0.6961;0.0000;36.31;24.39;23.37;51.35
7.2;Russ;20;100;200nmp;47.2000;45.1368;2.8801;0.3484;0.6969;0.6969;1.7422;3.1360;2.7876;8.0143;11.8472;3.1360;0.6969;1.3938;4.1814;1.7422;1.7422;2.4391;0.6969;36.53;24.50;23.36;51.34
8.2;Russ;20;100;200nmp;41.3000;37.1511;2.8801;1.7419;0.0000;0.0000;0.3484;0.6968;4.5289;6.6192;8.0128;3.4838;2.4387;0.3484;4.8773;1.0451;0.6968;1.7419;0.6968;36.53;24.50;23.36;51.34
9.2;Russ;20;100;200nmp;57.1000;38.1927;2.8801;0.0000;0.0000;0.3486;1.0457;0.3486;2.7885;12.5484;10.1084;3.8342;2.4400;1.7428;0.6971;0.6971;1.0457;0.6971;0.0000;36.52;24.60;23.38;51.35
10.2;Russ;20;100;200nmp;66.9000;43.2154;2.8925;1.3896;0.3474;1.0422;2.4317;0.6948;6.2530;9.0322;7.2952;3.8213;2.0843;1.3896;4.5161;1.7370;1.0422;0.3474;0.0000;36.56;24.66;23.36;51.34
11.3;Russ;20;100;200nmp;68.9000;34.1700;2.8973;0.6930;0.3465;0.3465;0.3465;0.6930;3.4650;7.9694;7.9694;4.1580;1.3860;0.3465;5.1974;1.0395;0.3465;0.0000;0.0000;36.56;24.66;23.36;51.34
12.3;Russ;20;100;200nmp;49.2000;43.9878;2.8872;1.0434;0.3478;0.0000;1.3912;1.7390;4.5215;7.6518;9.7386;6.9561;2.0868;2.4347;3.8259;1.0434;1.0434;0.3478;0.0000;36.66;24.76;23.37;51.33
13.3;Russ;20;100;200nmp;64.9000;43.9878;2.8872;1.0434;0.3478;0.0000;1.3912;1.7390;4.5215;7.6518;9.7386;6.9561;2.0868;2.4347;3.8259;1.0434;1.0434;0.3478;0.0000;36.78;24.82;23.36;51.35
14.3;Russ;20;100;200nmp;51.2000;44.2432;2.8931;0.3469;0.6939;0.6939;0.3469;0.6939;3.8163;10.0612;10.0612;3.8163;2.0816;3.4694;3.1224;3.4694;1.7347;0.0000;0.0000;36.78;24.82;23.36;51.35
15.3;Russ;20;100;200nmp;59.0000;37.5653;2.9016;1.7309;0.3462;0.0000;0.3462;1.0385;5.5389;7.6159;6.9236;3.4618;2.0771;2.0771;1.7309;3.4618;0.6924;0.3462;0.3462;36.84;24.87;23.37;51.34
16.3;Russ;20;100;200nmp;55.1000;44.1133;2.9016;0.3460;0.0000;0.3460;1.3839;0.6920;6.5737;11.4175;7.9577;5.5358;0.6920;1.0380;3.1139;2.7679;1.3839;0.3460;0.6920;36.80;24.93;23.37;51.35
17.3;Russ;20;100;200nmp;63.0000;40.3611;2.8988;0.0000;0.3464;1.3857;1.3857;0.3464;5.1962;10.3925;8.3140;3.4642;0.0000;1.7321;3.4642;2.0785;1.0392;1.3857;0.0000;36.80;24.93;23.37;51.35
18.4;Russ;20;100;200nmp;43.3000;41.1694;2.9148;0.6889;0.3445;1.3778;0.6889;1.7223;5.1668;9.3002;6.2001;6.2001;0.6889;2.4112;2.7556;1.7223;1.3778;0.6889;0.0000;36.94;25.00;23.37;51.36
19.4;Russ;20;100;200nmp;43.3000;45.3822;2.9307;2.0561;0.3427;0.6854;0.3427;0.0000;5.8257;3.7696;13.0222;8.5672;1.7134;1.3708;3.7696;1.7134;1.3708;0.3427;0.6854;36.96;25.05;23.35;51.34
20.4;Russ;20;100;200nmp;74.8000;43.5543;2.9618;2.0341;1.3561;1.0171;0.3390;0.3390;5.0853;10.5096;9.4925;3.7292;2.0341;2.0341;2.0341;2.7121;1.0171;0.0000;0.0000;36.96;25.05;23.35;51.34
21.4;Russ;20;100;200nmp;57.1000;40.1780;2.9618;0.3390;0.0000;0.6781;1.0171;1.0171;4.4074;9.1539;7.1197;4.7465;3.3903;2.3732;4.4074;0.6781;0.6781;0.3390;0.0000;36.94;25.08;23.36;51.34
22.4;Russ;20;100;200nmp;78.7000;45.3456;2.9771;0.6745;0.6745;0.0000;0.6745;0.6745;6.0709;12.8164;8.7691;6.0709;2.3609;2.3609;3.7100;0.3373;0.0000;0.3373;0.0000;37.05;25.14;23.36;51.35
23.4;Russ;20;100;200nmp;49.2000;39.6391;2.9769;1.0113;0.3371;0.0000;0.3371;0.3371;4.0451;9.1014;9.1014;5.3934;1.3484;1.0113;4.3822;1.6854;1.0113;0.3371;0.3371;37.05;25.14;23.36;51.35
24.4;Russ;20;100;200nmp;57.1000;47.9838;2.9802;0.3370;0.6740;1.0110;0.3370;1.6851;5.7292;9.7733;11.4583;5.0552;0.6740;4.7181;2.6961;2.3591;1.3480;0.3370;0.0000;37.23;25.18;23.37;51.36
